0  -0.2429980571 0.0007430500  -0.2190079452 0.0010603995  -0.1950178333 0.0015016823  -0.1710277215 0.0021112036  -0.1470376096 0.0029478954  -0.1230474977 0.0040898778  -0.0990573859 0.0056404184  -0.0750672740 0.0077357329  -0.0510771622 0.0105352709  -0.0270870503 0.0142126605  -0.0030969384 0.0189991175  0.0208931734 0.0251753241  0.0448832853 0.0330792400  0.0688733972 0.0431151605  0.0928635090 0.0557639772  0.1168536209 0.0715948765  0.1408437328 0.0912627667  0.1648338446 0.1152585805  0.1888239565 0.1441297921  0.2128140684 0.1784806296  0.2368041802 0.2188977165  0.2607942921 0.2659256093  0.2847844039 0.3200397056  0.3087745158 0.3816175212  0.3327646277 0.4509085458  0.3567547395 0.5276940230  0.3807448514 0.6114216541  0.4047349633 0.7014313354  0.4287250751 0.7967522534  0.4527151870 0.8960160091  0.4767052989 0.9975043453  0.5006954107 1.0992574689  0.5246855226 1.1990802870  0.5486756345 1.2946270174  0.5726657463 1.3834776044  0.5966558582 1.4632676865  0.6206459701 1.5317250697  0.6446360819 1.5869061633  0.6686261938 1.6271446546  0.6926163056 1.6511892242  0.7166064175 1.6583981763  0.7405965294 1.6485108499  0.7645866412 1.6218760462  0.7885767531 1.5793774715  0.8125668650 1.5223266054  0.8365569768 1.4524430924  0.8605470887 1.3717786262  0.8845372006 1.2825795016  0.9085273124 1.1872166458  0.9325174243 1.0880414026  0.9565075362 0.9873255474  0.9804976480 0.8871817953  1.0044877599 0.7894769855  1.0284778717 0.6957887998  1.0524679836 0.6075035944  1.0764580955 0.5253668589  1.1004482073 0.4498869153  1.1244383192 0.3816954455  1.1484284311 0.3211234588  1.1724185429 0.2678436903  1.1964086548 0.2214400552  1.2203987667 0.1814292718  1.2443888785 0.1472807516  1.2683789904 0.1184358347  1.2923691023 0.0943256486  1.3163592141 0.0744464235  1.3403493260 0.0583578026  1.3643394378 0.0454279391  1.3883295497 0.0351045210  1.4123196616 0.0269194314  1.4363097734 0.0204775705  1.4602998853 0.0154471227  1.4842899972 0.0115510186  1.5082801090 0.0085595973  1.5322702209 0.0062978411  1.5562603328 0.0046062941  1.5802504446 0.0033480260  1.6042405565 0.0024174568  1.6282306684 0.0017334724  1.6522207802 0.0012340111 
1  -0.1891365414 0.0007221806  -0.1664300559 0.0010402489  -0.1437235704 0.0014861312  -0.1210170848 0.0021065271  -0.0983105993 0.0029636617  -0.0756041138 0.0041400306  -0.0528976283 0.0057445160  -0.0301911427 0.0079202696  -0.0074846572 0.0108376166  0.0152218283 0.0146870110  0.0379283138 0.0197174854  0.0606347994 0.0262307717  0.0833412849 0.0345887605  0.1060477704 0.0452216373  0.1287542559 0.0586364778  0.1514607415 0.0754262882  0.1741672270 0.0962664526  0.1968737125 0.1217077525  0.2195801981 0.1523498768  0.2422866836 0.1888361063  0.2649931691 0.2317850961  0.2876996546 0.2817617220  0.3104061402 0.3392446201  0.3331126257 0.4045916458  0.3558191112 0.4780041065  0.3785255967 0.5592721259  0.4012320823 0.6478501778  0.4239385678 0.7430073826  0.4466450533 0.8436723292  0.4693515388 0.9483610907  0.4920580244 1.0553038521  0.5147645099 1.1624258174  0.5374709954 1.2674275825  0.5601774810 1.3678444518  0.5828839665 1.4611424454  0.6055904520 1.5448586531  0.6282969375 1.6166751319  0.6510034231 1.6745270039  0.6737099086 1.7166700413  0.6964163941 1.7418546834  0.7191228796 1.7493491606  0.7418293652 1.7389493871  0.7645358507 1.7110041859  0.7872423362 1.6664067262  0.8099488217 1.6065378341  0.8326553073 1.5331877017  0.8553617928 1.4484833100  0.8780682783 1.3547778348  0.9007747639 1.2545155758  0.9234812494 1.1501798753  0.9461877349 1.0441529264  0.9688942204 0.9386248756  0.9916007060 0.8356026670  1.0143071915 0.7366627820  1.0370136770 0.6433759283  1.0597201625 0.5565474432  1.0824266481 0.4767216187  1.1051331336 0.4045330109  1.1278396191 0.3403209111  1.1505461046 0.2837883391  1.1732525902 0.2345285851  1.1959590757 0.1920509370  1.2186655612 0.1558047056  1.2413720468 0.1252022940  1.2640785323 0.0996404458  1.2867850178 0.0785727518  1.3094915033 0.0615113448  1.3321979889 0.0477994072  1.3549044744 0.0368588188  1.3776109599 0.0281954815  1.4003174454 0.0213896856  1.4230239310 0.0160873182  1.4457304165 0.0119918132  1.4684369020 0.0088569532  1.4911433875 0.0064927408  1.5138498731 0.0047289985  1.5365563586 0.0034211973  1.5592628441 0.0024576799  1.5819693297 0.0017525935  1.6046758152 0.0012402699 
2  -0.1449345916 0.0007123632  -0.1232580229 0.0010327604  -0.1015814543 0.0014844743  -0.0799048857 0.0021162408  -0.0582283171 0.0029930991  -0.0365517485 0.0042013125  -0.0148751798 0.0058546514  0.0068013888 0.0081023976  0.0284779574 0.0111241171  0.0501545260 0.0151241205  0.0718310946 0.0203666049  0.0935076633 0.0271713611  0.1151842319 0.0359210233  0.1368608005 0.0470685552  0.1585373691 0.0611446133  0.1802139377 0.0787645894  0.2018905064 0.1006243363  0.2235670750 0.1273255929  0.2452436436 0.1595134897  0.2669202122 0.1978667665  0.2885967808 0.2430338293  0.3102733495 0.2955995280  0.3319499181 0.3560480221  0.3536264867 0.4247231706  0.3753030553 0.5017879396  0.3969796239 0.5870560617  0.4186561926 0.6799854655  0.4403327612 0.7797518497  0.4620093298 0.8852055653  0.4836858984 0.9948094200  0.5053624670 1.1066910412  0.5270390357 1.2186849422  0.5487156043 1.3284028373  0.5703921729 1.4332611319  0.5920687415 1.5306289835  0.6137453101 1.6179391107  0.6354218788 1.6927789696  0.6570984474 1.7530010020  0.6787750160 1.7968546030  0.7004515846 1.8229962227  0.7221281533 1.8307112913  0.7438047219 1.8197482453  0.7654812905 1.7905075007  0.7871578591 1.7439182747  0.8088344277 1.6813998997  0.8305109964 1.6048186306  0.8521875650 1.5163917077  0.8738641336 1.4185466448  0.8955407022 1.3138379572  0.9172172708 1.2048453833  0.9388938395 1.0940365891  0.9605704081 0.9837189805  0.9822469767 0.8759641023  1.0039235453 0.7724381290  1.0256001139 0.6747665853  1.0472766826 0.5838214324  1.0689532512 0.5001871154  1.0906298198 0.4245153400  1.1123063884 0.3571544464  1.1339829570 0.2978185502  1.1556595257 0.2460991876  1.1773360943 0.2014935303  1.1990126629 0.1634309342  1.2206892315 0.1312983874  1.2423658001 0.1044638992  1.2640423688 0.0823488313  1.2857189374 0.0644315082  1.3073955060 0.0500299727  1.3290720746 0.0385417107  1.3507486432 0.0294495120  1.3724252119 0.0223125525  1.3941017805 0.0167579961  1.4157783491 0.0124730951  1.4374549177 0.0091979604  1.4591314863 0.0067308850  1.4808080550 0.0048925885  1.5024846236 0.0035315751  1.5241611922 0.0025306891  1.5458377608 0.0017998118  1.5675143294 0.0012700203 
3  -0.1087238713 0.0007067440  -0.0878636928 0.0010293474  -0.0670035143 0.0014860503  -0.0461433359 0.0021272095  -0.0252831574 0.0030201308  -0.0044229789 0.0042541569  0.0164371996 0.0059471250  0.0372973781 0.0082535346  0.0581575566 0.0113606190  0.0790177351 0.0154838464  0.0998779136 0.0209000265  0.1207380921 0.0279441108  0.1415982706 0.0370163493  0.1624584491 0.0485893466  0.1833186276 0.0632145529  0.2041788061 0.0815278470  0.2250389846 0.1042448035  0.2458991631 0.1320110750  0.2667593416 0.1655116243  0.2876195200 0.2054573280  0.3084796985 0.2525239618  0.3293398770 0.3073153110  0.3502000555 0.3703217917  0.3710602340 0.4418762183  0.3919204125 0.5221088050  0.4127805910 0.6108598907  0.4336407695 0.7076006817  0.4545009480 0.8114349520  0.4753611265 0.9211112469  0.4962213050 1.0350605442  0.5170814835 1.1513077383  0.5379416620 1.2676277015  0.5588018405 1.3815214845  0.5796620190 1.4902991322  0.6005221975 1.5912463562  0.6213823759 1.6817160779  0.6422425544 1.7591901554  0.6631027329 1.8214602254  0.6839629114 1.8667371468  0.7048230899 1.8936413289  0.7256832684 1.9014122308  0.7465434469 1.8898443313  0.7674036254 1.8593399082  0.7882638039 1.8108484024  0.8091239824 1.7458825396  0.8299841609 1.6663548509  0.8508443394 1.5745717282  0.8717045179 1.4730372169  0.8925646964 1.3644022853  0.9134248749 1.2513315128  0.9342850534 1.1363735276  0.9551452318 1.0219242481  0.9760054103 0.9101068628  0.9968655888 0.8027057373  1.0177257673 0.7013169887  1.0385859458 0.6069076874  1.0594461243 0.5200743621  1.0803063028 0.4414878203  1.1011664813 0.3715112368  1.1220266598 0.3098531736  1.1428868383 0.2560943856  1.1637470168 0.2097169955  1.1846071953 0.1701319989  1.2054673738 0.1367056727  1.2263275523 0.1087838861  1.2471877308 0.0857671455  1.2680479092 0.0671145026  1.2889080877 0.0521185170  1.3097682662 0.0401537133  1.3306284447 0.0306828080  1.3514886232 0.0232475909  1.3723488017 0.0174603122  1.3932089802 0.0129955596  1.4140691587 0.0095828093  1.4349293372 0.0070120561  1.4557895157 0.0050965406  1.4766496942 0.0036784048  1.4975098727 0.0026355659  1.5183700512 0.0018741094  1.5392302297 0.0013222058 
4  -0.0865809606 0.0007296982  -0.0663729486 0.0010629598  -0.0461649365 0.0015348014  -0.0259569245 0.0021972711  -0.0057489124 0.0031199351  0.0144590996 0.0043951357  0.0346671117 0.0061446644  0.0548751238 0.0085282031  0.0750831358 0.0117392760  0.0952911479 0.0160005753  0.1154991599 0.0215981157  0.1357071720 0.0288779021  0.1559151840 0.0382532603  0.1761231961 0.0502120374  0.1963312081 0.0653231823  0.2165392202 0.0842423468  0.2367472323 0.1077069177  0.2569552443 0.1363834927  0.2771632564 0.1709787379  0.2973712684 0.2122253665  0.3175792805 0.2608195636  0.3377872925 0.3173828973  0.3579953046 0.3824196161  0.3782033166 0.4562710196  0.3984113287 0.5390690740  0.4186193407 0.6306489243  0.4388273528 0.7304654399  0.4590353649 0.8375930888  0.4792433769 0.9507281676  0.4994513890 1.0682869925  0.5196594010 1.1882162535  0.5398674131 1.3082263451  0.5600754251 1.4257056415  0.5802834372 1.5379345195  0.6004914492 1.6420964507  0.6206994613 1.7354676299  0.6409074734 1.8154432653  0.6611154854 1.8797467212  0.6813234975 1.9265485216  0.7015315095 1.9543820072  0.7217395216 1.9625068164  0.7419475336 1.9506785407  0.7621555457 1.9192980017  0.7823635577 1.8693680147  0.8025715698 1.8024133093  0.8227795819 1.7204254250  0.8429875939 1.6257630773  0.8631956060 1.5210156715  0.8834036180 1.4089169908  0.9036116301 1.2922146906  0.9238196421 1.1735426944  0.9440276542 1.0553723377  0.9642356662 0.9399149665  0.9844436783 0.8289861557  1.0046516904 0.7242651156  1.0248597024 0.6267322031  1.0450677145 0.5370241042  1.0652757265 0.4558369113  1.0854837386 0.3835409868  1.1056917506 0.3198395927  1.1258997627 0.2643023022  1.1461077747 0.2163954265  1.1663157868 0.1755107607  1.1865237989 0.1409931742  1.2067318109 0.1121659981  1.2269398230 0.0884085662  1.2471478350 0.0691602700  1.2673558471 0.0536893819  1.2875638591 0.0413491214  1.3077718712 0.0315839973  1.3279798832 0.0239203536  1.3481878953 0.0179574455  1.3683959074 0.0133590246  1.3886039194 0.0098456277  1.4088119315 0.0072007068  1.4290199435 0.0052312521  1.4492279556 0.0037740347  1.4694359676 0.0027030046  1.4896439797 0.0019213180  1.5098519917 0.0013549842 
5  -0.0696534738 0.0007506508  -0.0499533846 0.0010929841  -0.0302532955 0.0015774714  -0.0105532063 0.0022574586  0.0091468829 0.0032042600  0.0288469721 0.0045125733  0.0485470612 0.0063073700  0.0682471504 0.0087526350  0.0879472396 0.0120468795  0.1076473288 0.0164179733  0.1273474180 0.0221590467  0.1470475071 0.0296247553  0.1667475963 0.0392388494  0.1864476855 0.0515016538  0.2061477747 0.0669969647  0.2258478638 0.0863980112  0.2455479530 0.1104624598  0.2652480422 0.1398729553  0.2849481314 0.1753536580  0.3046482206 0.2176561805  0.3243483097 0.2674947903  0.3440483989 0.3255073949  0.3637484881 0.3922117981  0.3834485773 0.4679589596  0.4031486664 0.5528854664  0.4228487556 0.6468219730  0.4425488448 0.7492124391  0.4622489340 0.8591157252  0.4819490232 0.9751890587  0.5016491123 1.0957912775  0.5213492015 1.2188449813  0.5410492907 1.3419586552  0.5607493799 1.4625097438  0.5804494690 1.5776728826  0.6001495582 1.6845454421  0.6198496474 1.7803554209  0.6395497366 1.8624199908  0.6592498258 1.9284056522  0.6789499149 1.9764252706  0.6986500041 2.0049838402  0.7183500933 2.0133138056  0.7380501825 2.0011592072  0.7577502716 1.9689517515  0.7774503608 1.9177060130  0.7971504500 1.8489855394  0.8168505392 1.7648402378  0.8365506284 1.6676919638  0.8562507175 1.5601981409  0.8759508067 1.4451661150  0.8956508959 1.3254175875  0.9153509851 1.2036617525  0.9350510742 1.0824086039  0.9547511634 0.9639707962  0.9744512526 0.8501650053  0.9941513418 0.7427418093  1.0138514310 0.6427070460  1.0335515201 0.5507034396  1.0532516093 0.4674462970  1.0729516985 0.3933180393  1.0926517877 0.3280073274  1.1123518768 0.2710682304  1.1320519660 0.2219509188  1.1517520552 0.1800306221  1.1714521444 0.1446354603  1.1911522336 0.1150720907  1.2108523227 0.0907076334  1.2305524119 0.0709727535  1.2502525011 0.0551124643  1.2699525903 0.0424608098  1.2896526795 0.0324471750  1.3093527686 0.0245858708  1.3290528578 0.0184664875  1.3487529470 0.0137449417  1.3684530362 0.0101353886  1.3881531253 0.0074174539  1.4078532145 0.0053932827  1.4275533037 0.0038949032  1.4472533929 0.0027928436  1.4669534821 0.0019877616  1.4866535712 0.0014038186 
6  -0.0569504074 0.0007678326  -0.0376401812 0.0011172127  -0.0183299550 0.0016113784  0.0009802711 0.0023046071  0.0202904973 0.0032694843  0.0396007235 0.0046024589  0.0589109496 0.0064309358  0.0782211758 0.0089223104  0.0975314020 0.0122788941  0.1168416281 0.0167321048  0.1361518543 0.0225804058  0.1554620804 0.0301850489  0.1747723066 0.0399779141  0.1940825328 0.0524693416  0.2133927589 0.0682554707  0.2327029851 0.0880247533  0.2520132113 0.1125530934  0.2713234374 0.1425358479  0.2906336636 0.1787116011  0.3099438898 0.2218483757  0.3292541159 0.2726763789  0.3485643421 0.3318481730  0.3678745682 0.3998939958  0.3871847944 0.4771739946  0.4064950206 0.5638296331  0.4258052467 0.6596925326  0.4451154729 0.7642018074  0.4644256991 0.8764036537  0.4837359252 0.9949241007  0.5030461514 1.1180563146  0.5223563776 1.2437117251  0.5416666037 1.3694110417  0.5609768299 1.4925238640  0.5802870560 1.6101070727  0.5995972822 1.7192422855  0.6189075084 1.8170454481  0.6382177345 1.9008054596  0.6575279607 1.9681207175  0.6768381869 2.0170856508  0.6961484130 2.0461441807  0.7154586392 2.0545481692  0.7347688653 2.0420231641  0.7540790915 2.0090115372  0.7733893177 1.9565617445  0.7926995438 1.8862832713  0.8120097700 1.8002743974  0.8313199962 1.7010060612  0.8506302223 1.5912053938  0.8699404485 1.4737425987  0.8892506747 1.3514867392  0.9085609008 1.2272271933  0.9278711270 1.1035192886  0.9471813531 0.9826701266  0.9664915793 0.8666331015  0.9858018055 0.7570587082  1.0051120316 0.6551130355  1.0244222578 0.5613740011  1.0437324840 0.4765501084  1.0630427101 0.4010419750  1.0823529363 0.3345199583  1.1016631625 0.2765219276  1.1209733886 0.2264836458  1.1402836148 0.1837673030  1.1595938409 0.1476890002  1.1789040671 0.1175441355  1.1982142933 0.0926952653  1.2175245194 0.0725733462  1.2368347456 0.0564014294  1.2561449718 0.0434965692  1.2754551979 0.0332759444  1.2947654241 0.0252449685  1.3140756503 0.0189865866  1.3333858764 0.0141515868  1.3526961026 0.0104500425  1.3720063287 0.0076601501  1.3913165549 0.0055805154  1.4106267811 0.0040390425  1.4299370072 0.0029033466  1.4492472334 0.0020719771  1.4685574596 0.0014675264 
7  -0.0476945975 0.0007798284  -0.0286767407 0.0011338874  -0.0096588839 0.0016343980  0.0093589728 0.0023362262  0.0283768296 0.0033127844  0.0473946864 0.0046617053  0.0664125432 0.0065121125  0.0854303999 0.0090339259  0.1044482567 0.0124321822  0.1234661135 0.0169405675  0.1424839703 0.0228613676  0.1615018270 0.0305606889  0.1805196838 0.0404765761  0.1995375406 0.0531272226  0.2185553974 0.0691187995  0.2375732541 0.0891525986  0.2565911109 0.1140204351  0.2756089677 0.1444283599  0.2946268244 0.1811273197  0.3136446812 0.2248997584  0.3326625380 0.2764899922  0.3516803948 0.3365635613  0.3706982515 0.4056615779  0.3897161083 0.4841518674  0.4087339651 0.5721792529  0.4277518219 0.6695831527  0.4467696786 0.7758050090  0.4657875354 0.8898787987  0.4848053922 1.0104027443  0.5038232490 1.1356109155  0.5228411057 1.2633892819  0.5418589625 1.3912180211  0.5608768193 1.5164093275  0.5798946761 1.6359673168  0.5989125328 1.7469081927  0.6179303896 1.8463020722  0.6369482464 1.9313850373  0.6559661031 1.9997086388  0.6749839599 2.0493384450  0.6940018167 2.0787027207  0.7130196735 2.0870344343  0.7320375302 2.0740641012  0.7510553870 2.0402791964  0.7700732438 1.9867161183  0.7890911006 1.9150753270  0.8081089573 1.8274557798  0.8271268141 1.7264055732  0.8461446709 1.6147049370  0.8651625277 1.4952614544  0.8841803844 1.3710296355  0.9031982412 1.2447910839  0.9222160980 1.1191844718  0.9412339548 0.9965323248  0.9602518115 0.8788148525  0.9792696683 0.7676289166  0.9982875251 0.6642797371  1.0173053818 0.5692999653  1.0363232386 0.4833664932  1.0553410954 0.4068959781  1.0743589522 0.3395323614  1.0933768089 0.2807938578  1.1123946657 0.2301020131  1.1314125225 0.1868088079  1.1504303793 0.1502228951  1.1694482360 0.1196339620  1.1884660928 0.0944085585  1.2074839496 0.0739885160  1.2265018064 0.0575752190  1.2455196631 0.0444700383  1.2645375199 0.0340802149  1.2835553767 0.0259049259  1.3025732335 0.0195231497  1.3215910902 0.0145830112  1.3406089470 0.0107926373  1.3596268038 0.0079310527  1.3786446605 0.0057946082  1.3976625173 0.0042076895  1.4166803741 0.0030354707  1.4356982309 0.0021747409  1.4547160876 0.0015467656 
8  -0.0563653110 0.0008662748  -0.0375873119 0.0012489763  -0.0188093128 0.0017858443  -0.0000313137 0.0025333507  0.0187466854 0.0035668174  0.0375246846 0.0049862230  0.0563026837 0.0069237161  0.0750806828 0.0095533347  0.0938586819 0.0130820997  0.1126366810 0.0177408566  0.1314146802 0.0238317681  0.1501926793 0.0317207154  0.1689706784 0.0418461203  0.1877486775 0.0547284845  0.2065266766 0.0709803485  0.2253046758 0.0913166136  0.2440826749 0.1165500614  0.2628606740 0.1473504001  0.2816386731 0.1844442957  0.3004166722 0.2286081144  0.3191946714 0.2805872723  0.3379726705 0.3410606478  0.3567506696 0.4106009844  0.3755286687 0.4896327920  0.3943066678 0.5783888742  0.4130846670 0.6766178360  0.4318626661 0.7836551846  0.4506406652 0.8985921255  0.4694186643 1.0201271374  0.4881966634 1.1465469486  0.5069746626 1.2756670203  0.5257526617 1.4050019330  0.5445306608 1.5317832062  0.5633086599 1.6530479243  0.5820866590 1.7657623011  0.6008646582 1.8669309245  0.6196426573 1.9536846110  0.6384206564 2.0236456304  0.6571986555 2.0748040120  0.6759766546 2.1054558197  0.6947546538 2.1147663641  0.7135326529 2.1024552153  0.7323106520 2.0689338847  0.7510886511 2.0153003640  0.7698666502 1.9431597344  0.7886446494 1.8546898419  0.8074226485 1.7524375396  0.8262006476 1.6392428822  0.8449786467 1.5180691096  0.8637566458 1.3918978367  0.8825346450 1.2636179572  0.9013126441 1.1359100484  0.9200906432 1.0111602418  0.9388686423 0.8913891881  0.9576466414 0.7783682305  0.9764246406 0.6732083163  0.9952026397 0.5765526243  1.0139806388 0.4891560495  1.0327586379 0.4114222634  1.0515366370 0.3429911215  1.0703146362 0.2833700464  1.0890926353 0.2319648727  1.1078706344 0.1881087374  1.1266486335 0.1510898960  1.1454266326 0.1201774071  1.1642046318 0.0947170437  1.1829826309 0.0741299720  1.2017606300 0.0576025806  1.2205386291 0.0444238004  1.2393166282 0.0339905666  1.2580946274 0.0257936789  1.2768726265 0.0194054459  1.2956506256 0.0144688054  1.3144286247 0.0106879684  1.3332066238 0.0078396970  1.3519846230 0.0057178987  1.3707626221 0.0041450802  1.3895406212 0.0029854854  1.4083186203 0.0021355450  1.4270966194 0.0015164934 
9  -0.0678205259 0.0009625633  -0.0492105595 0.0013758097  -0.0306005931 0.0019510078  -0.0119906267 0.0027461069  0.0066193398 0.0038381318  0.0252293062 0.0053290839  0.0438392726 0.0073536282  0.0624492390 0.0100891236  0.0810592055 0.0137434937  0.0996691719 0.0185436492  0.1182791383 0.0247902713  0.1368891047 0.0328473957  0.1554990712 0.0431518834  0.1741090376 0.0562241998  0.1927190040 0.0726803633  0.2113289705 0.0932452545  0.2299389369 0.1187482122  0.2485489033 0.1498206732  0.2671588697 0.1871628695  0.2857688362 0.2315421834  0.3043788026 0.2837018863  0.3229887690 0.3443302547  0.3415987354 0.4140265554  0.3602087019 0.4932651757  0.3788186683 0.5823580239  0.3974286347 0.6809874739  0.4160386012 0.7884086811  0.4346485676 0.9037665604  0.4532585340 1.0258482410  0.4718685004 1.1529869380  0.4904784669 1.2829738390  0.5090884333 1.4133296757  0.5276983997 1.5412777949  0.5463083661 1.6638451861  0.5649183326 1.7779671497  0.5835282990 1.8806305336  0.6021382654 1.9689292214  0.6207482318 2.0403655649  0.6393581983 2.0928724744  0.6579681647 2.1247918887  0.6765781311 2.1350885822  0.6951880976 2.1235216076  0.7137980640 2.0904868010  0.7324080304 2.0370048734  0.7510179968 1.9646795928  0.7696279633 1.8756792207  0.7882379297 1.7726031018  0.8068478961 1.6582925856  0.8254578625 1.5357656691  0.8440678290 1.4080773752  0.8626777954 1.2781594529  0.8812877618 1.1487545900  0.8998977282 1.0222976315  0.9185076947 0.9009057254  0.9371176611 0.7863392111  0.9557276275 0.6796766332  0.9743375940 0.5816776366  0.9929475604 0.4931248776  1.0115575268 0.4143955635  1.0301674932 0.3451310276  1.0487774597 0.2848323182  1.0673874261 0.2328930384  1.0859973925 0.1886302592  1.1046073589 0.1513141205  1.1232173254 0.1201950067  1.1418272918 0.0945997351  1.1604372582 0.0739304158  1.1790472246 0.0573597505  1.1976571911 0.0441657287  1.2162671575 0.0337365568  1.2348771239 0.0255562122  1.2534870904 0.0191918021  1.2720970568 0.0142824179  1.2907070232 0.0105295442  1.3093169896 0.0077086450  1.3279269561 0.0056120933  1.3465369225 0.0040613110  1.3651468889 0.0029202385  1.3837568553 0.0020854380  1.4023668218 0.0014784932 
