0  -0.2523558209 0.0015385775  -0.2283708794 0.0020804879  -0.2043859379 0.0027968923  -0.1804009964 0.0037398164  -0.1564160549 0.0049760885  -0.1324311134 0.0065915637  -0.1084461719 0.0086966226  -0.0844612304 0.0114333602  -0.0604762889 0.0149531689  -0.0364913474 0.0194029862  -0.0125064059 0.0249930156  0.0114785356 0.0319768922  0.0354634771 0.0406606307  0.0594484186 0.0514144260  0.0834333601 0.0646876915  0.1074183016 0.0810283233  0.1314032431 0.1010757461  0.1553881846 0.1250878036  0.1793731261 0.1534341733  0.2033580676 0.1866099212  0.2273430091 0.2251226769  0.2513279506 0.2694896084  0.2753128920 0.3202354809  0.2992978335 0.3778921768  0.3232827750 0.4429961242  0.3472677165 0.5150327054  0.3712526580 0.5934378114  0.3952375995 0.6784417089  0.4192225410 0.7691718360  0.4432074825 0.8639007620  0.4671924240 0.9619542539  0.4911773655 1.0613827639  0.5151623070 1.1603023214  0.5391472485 1.2565228977  0.5631321900 1.3477330809  0.5871171315 1.4315686678  0.6111020730 1.5056393739  0.6350870145 1.5677744439  0.6590719560 1.6159957009  0.6830568975 1.6486763677  0.7070418390 1.6646670696  0.7310267805 1.6633020724  0.7550117220 1.6445069749  0.7789966635 1.6086850602  0.8029816050 1.5568922881  0.8269665465 1.4906417915  0.8509514880 1.4118993732  0.8749364295 1.3228157106  0.8989213710 1.2260402773  0.9229063125 1.1240027032  0.9468912540 1.0193227095  0.9708761955 0.9143353325  0.9948611370 0.8113408345  1.0188460784 0.7122294696  1.0428310199 0.6187321615  1.0668159614 0.5316437674  1.0908009029 0.4515272970  1.1147858444 0.3791816301  1.1387707859 0.3152011574  1.1627557274 0.2593739109  1.1867406689 0.2112912043  1.2107256104 0.1704008886  1.2347105519 0.1360555521  1.2586954934 0.1075556743  1.2826804349 0.0841863535  1.3066653764 0.0652454713  1.3306503179 0.0500654360  1.3546352594 0.0380365425  1.3786202009 0.0286113128  1.4026051424 0.0213081910  1.4265900839 0.0157117926  1.4505750254 0.0114702683  1.4745599669 0.0082906469  1.4985449084 0.0059330031  1.5225298499 0.0042092865  1.5465147914 0.0029627366  1.5704997329 0.0020683209  1.5944846744 0.0014317683  1.6184696159 0.0009825330  1.6424545574 0.0006682374 
1  -0.1979146888 0.0016298076  -0.1752136682 0.0022088769  -0.1525126476 0.0029755684  -0.1298116270 0.0039857809  -0.1071106064 0.0053110917  -0.0844095858 0.0070430841  -0.0617085653 0.0092989189  -0.0390075447 0.0122285334  -0.0163065241 0.0159930684  0.0063944965 0.0207519031  0.0290955171 0.0267287412  0.0517965377 0.0341925864  0.0744975583 0.0434667034  0.0971985789 0.0549403206  0.1198995994 0.0690834221  0.1426006200 0.0864655476  0.1653016406 0.1077474228  0.1880026612 0.1331989582  0.2107036818 0.1632063941  0.2334047024 0.1982847779  0.2561057230 0.2389631336  0.2788067436 0.2857822279  0.3015077642 0.3392936826  0.3242087847 0.4000608301  0.3469098053 0.4686575133  0.3696108259 0.5445277003  0.3923118465 0.6269961534  0.4150128671 0.7161596955  0.4377138877 0.8112443778  0.4604149083 0.9108750673  0.4831159289 1.0138262459  0.5058169494 1.1182938293  0.5285179700 1.2222670317  0.5512189906 1.3235011010  0.5739200112 1.4195804920  0.5966210318 1.5080109859  0.6193220524 1.5863405782  0.6420230730 1.6522424726  0.6647240936 1.7036434408  0.6874251141 1.7388793871  0.7101261347 1.7566033571  0.7328271553 1.7561081372  0.7555281759 1.7372607576  0.7782291965 1.7004560685  0.8009302171 1.6467348229  0.8236312377 1.5776453020  0.8463322583 1.4951848362  0.8690332788 1.4016552593  0.8917342994 1.2997503058  0.9144353200 1.1921000746  0.9371363406 1.0814231009  0.9598373612 0.9702849007  0.9825383818 0.8610765653  1.0052394024 0.7557322338  1.0279404230 0.6560589774  1.0506414436 0.5633361580  1.0733424641 0.4784480483  1.0960434847 0.4019315923  1.1187445053 0.3340017959  1.1414455259 0.2745645951  1.1641465465 0.2232847463  1.1868475671 0.1796437359  1.2095485877 0.1429958116  1.2322496083 0.1126192124  1.2549506288 0.0877605423  1.2776516494 0.0676711208  1.3003526700 0.0516367793  1.3230536906 0.0389958063  1.3457547112 0.0291495267  1.3684557318 0.0215700832  1.3911567524 0.0158026784  1.4138577730 0.0114635735  1.4365587935 0.0082351523  1.4592598141 0.0058591824  1.4819608347 0.0041287281  1.5046618553 0.0028812547  1.5273628759 0.0019912377  1.5500638965 0.0013627954  1.5727649171 0.0009236220  1.5954659377 0.0006198748 
2  -0.1535650352 0.0016786144  -0.1318952091 0.0022817691  -0.1102253831 0.0030822340  -0.0885555570 0.0041390517  -0.0668857310 0.0055277140  -0.0452159049 0.0073445958  -0.0235460789 0.0097126113  -0.0018762528 0.0127884538  0.0197935732 0.0167422288  0.0414633993 0.0217452633  0.0631332254 0.0280338458  0.0848030514 0.0358913175  0.1064728775 0.0456569542  0.1281427035 0.0577374215  0.1498125296 0.0726211044  0.1714823556 0.0908961380  0.1931521817 0.1132412969  0.2148220077 0.1399506133  0.2364918338 0.1714345971  0.2581616598 0.2082313078  0.2798314859 0.2508924949  0.3015013119 0.2999808966  0.3231711380 0.3560688729  0.3448409640 0.4197387843  0.3665107901 0.4915812018  0.3881806162 0.5710096038  0.4098504422 0.6572665822  0.4315202683 0.7503662424  0.4531900943 0.8497360962  0.4748599204 0.9538903646  0.4965297464 1.0613201207  0.5181995725 1.1705236253  0.5398693985 1.2790880388  0.5615392246 1.3848449114  0.5832090506 1.4852537117  0.6048788767 1.5777411707  0.6265487027 1.6597294604  0.6482185288 1.7287782453  0.6698883548 1.7827186746  0.6915581809 1.8198504276  0.7132280070 1.8387183448  0.7348978330 1.8385823757  0.7565676591 1.8192670837  0.7782374851 1.7811792441  0.7999073112 1.7253813197  0.8215771372 1.6534377765  0.8432469633 1.5674632288  0.8649167893 1.4698248835  0.8865866154 1.3632950860  0.9082564414 1.2506681610  0.9299262675 1.1347353219  0.9515960935 1.0183314993  0.9732659196 0.9037621989  0.9949357456 0.7933268791  1.0166055717 0.6886436639  1.0382753978 0.5911825121  1.0599452238 0.5019853912  1.0816150499 0.4216590091  1.1032848759 0.3503753870  1.1249547020 0.2879873878  1.1466245280 0.2341244213  1.1682943541 0.1882430860  1.1899641801 0.1496773614  1.2116340062 0.1176856931  1.2333038322 0.0914928982  1.2549736583 0.0703458098  1.2766434843 0.0535372154  1.2983133104 0.0403343271  1.3199831364 0.0300816728  1.3416529625 0.0222097628  1.3633227886 0.0162333168  1.3849926146 0.0117462342  1.4066624407 0.0084144305  1.4283322667 0.0059674904  1.4500020928 0.0041895621  1.4716719188 0.0029116840  1.4933417449 0.0020032495  1.5150115709 0.0013644495  1.5366813970 0.0009200852  1.5583512230 0.0006142755 
3  -0.1174443213 0.0016894708  -0.0965931340 0.0023043312  -0.0757419468 0.0031227196  -0.0548907596 0.0042060472  -0.0340395724 0.0056328412  -0.0131883851 0.0075032987  0.0076628021 0.0099450616  0.0285139893 0.0131205606  0.0493651765 0.0172077922  0.0702163638 0.0223887179  0.0910675510 0.0289109525  0.1119187382 0.0370709239  0.1327699255 0.0472227180  0.1536211127 0.0597893507  0.1744722999 0.0752767235  0.1953234871 0.0942910167  0.2161746744 0.1175295304  0.2370258616 0.1453184042  0.2578770488 0.1780967626  0.2787282360 0.2164265106  0.2995794233 0.2608802242  0.3204306105 0.3120364811  0.3412817977 0.3704762200  0.3621329850 0.4367805555  0.3829841722 0.5115261545  0.4038353594 0.5941113424  0.4246865466 0.6838052575  0.4455377339 0.7806791999  0.4663889211 0.8841259255  0.4872401083 0.9922873305  0.5080912955 1.1040272622  0.5289424828 1.2173445696  0.5497936700 1.3301098883  0.5706448572 1.4398487896  0.5914960445 1.5440751862  0.6123472317 1.6399392239  0.6331984189 1.7249130723  0.6540496061 1.7964572953  0.6749007934 1.8522986050  0.6957519806 1.8906580273  0.7166031678 1.9101051648  0.7374543551 1.9098117264  0.7583055423 1.8896572384  0.7791567295 1.8500399581  0.8000079167 1.7920200227  0.8208591040 1.7173126197  0.8417102912 1.6280688488  0.8625614784 1.5267164311  0.8834126656 1.4161597060  0.9042638529 1.2992140325  0.9251150401 1.1789526478  0.9459662273 1.0580886443  0.9668174146 0.9391914736  0.9876686018 0.8244361316  1.0085197890 0.7157229419  1.0293709762 0.6145444146  1.0502221635 0.5219486638  1.0710733507 0.4385464790  1.0919245379 0.3645106394  1.1127757251 0.2996887402  1.1336269124 0.2436997599  1.1544780996 0.1959851009  1.1753292868 0.1558594412  1.1961804741 0.1225586861  1.2170316613 0.0952828688  1.2378828485 0.0732572733  1.2587340357 0.0557561814  1.2795852230 0.0420123441  1.3004364102 0.0313404089  1.3212875974 0.0231461357  1.3421387846 0.0169239081  1.3629899719 0.0122510520  1.3838411591 0.0087800887  1.4046923463 0.0062298751  1.4255435336 0.0043762772  1.4463947208 0.0030434854  1.4672459080 0.0020954777  1.4880970952 0.0014283835  1.5089482825 0.0009639645  1.5297994697 0.0006440747 
4  -0.0955958379 0.0017170150  -0.0753974339 0.0023454179  -0.0551990300 0.0031829289  -0.0350006261 0.0042929044  -0.0148022221 0.0057563883  0.0053961818 0.0076768056  0.0255945857 0.0101859050  0.0457929896 0.0134513022  0.0659913936 0.0176573479  0.0861897975 0.0229934697  0.1063882014 0.0297162408  0.1265866054 0.0381326225  0.1467850093 0.0486089285  0.1669834132 0.0615821883  0.1871818172 0.0775741465  0.2073802211 0.0972086336  0.2275786250 0.1212021045  0.2477770290 0.1498984244  0.2679754329 0.1837558730  0.2881738368 0.2233566204  0.3083722408 0.2692936168  0.3285706447 0.3221655546  0.3487690486 0.3825728559  0.3689674526 0.4511151287  0.3891658565 0.5283861148  0.4093642604 0.6137637759  0.4295626644 0.7064519645  0.4497610683 0.8064386784  0.4699594722 0.9132845302  0.4901578762 1.0249757785  0.5103562801 1.1403307087  0.5305546840 1.2572948382  0.5507530880 1.3736685169  0.5709514919 1.4868980101  0.5911498958 1.5943931506  0.6113482998 1.6932505789  0.6315467037 1.7808868344  0.6517451076 1.8546009234  0.6719435116 1.9120988775  0.6921419155 1.9515753876  0.7123403194 1.9715291121  0.7325387234 1.9711386676  0.7527371273 1.9502498356  0.7729355312 1.9092656780  0.7931339352 1.8494218329  0.8133323391 1.7722713829  0.8335307430 1.6801555084  0.8537291470 1.5755160377  0.8739275509 1.4614836600  0.8941259548 1.3408163943  0.9143243588 1.2167588402  0.9345227627 1.0920551717  0.9547211666 0.9693492429  0.9749195706 0.8510734838  0.9951179745 0.7389356352  1.0153163784 0.6345040085  1.0355147824 0.5388722318  1.0557131863 0.4526998061  1.0759115902 0.3762082644  1.0961099942 0.3092590551  1.1163083981 0.2514635400  1.1365068020 0.2022407052  1.1567052060 0.1608738666  1.1769036099 0.1265634343  1.1971020138 0.0984734743  1.2173004178 0.0757841105  1.2374988217 0.0577211633  1.2576972256 0.0435152651  1.2778956296 0.0324737603  1.2980940335 0.0239906858  1.3182924374 0.0175471516  1.3384908413 0.0127074738  1.3586892453 0.0091124508  1.3788876492 0.0064709630  1.3990860531 0.0045504035  1.4192844571 0.0031684993  1.4394828610 0.0021846147  1.4596812649 0.0014914491  1.4798796689 0.0010082056  1.5000780728 0.0006748259 
5  -0.0790001819 0.0017212995  -0.0593104718 0.0023551072  -0.0396207617 0.0032011024  -0.0199310516 0.0043239615  -0.0002413415 0.0058065235  0.0194483687 0.0077546357  0.0391380788 0.0103032966  0.0588277889 0.0136244608  0.0785174990 0.0179077595  0.0982072091 0.0233485147  0.1178969193 0.0302108328  0.1375866294 0.0388107146  0.1572763395 0.0495251908  0.1769660496 0.0628038583  0.1966557597 0.0791830477  0.2163454699 0.0993033490  0.2360351800 0.1239000776  0.2557248901 0.1533346388  0.2754146002 0.1880839478  0.2951043103 0.2287499041  0.3147940205 0.2759451791  0.3344837306 0.3302876793  0.3541734407 0.3923960059  0.3738631508 0.4628863724  0.3935528609 0.5423669644  0.4132425711 0.6302027827  0.4329322812 0.7255392172  0.4526219913 0.8282787659  0.4723117014 0.9380857846  0.4920014115 1.0528735944  0.5116911217 1.1713870453  0.5313808318 1.2915049325  0.5510705419 1.4109717342  0.5707602520 1.5271617699  0.5904499622 1.6373455079  0.6101396723 1.7386451600  0.6298293824 1.8283352488  0.6495190925 1.9036898994  0.6692088026 1.9623627634  0.6888985128 2.0024848952  0.7085882229 2.0225522537  0.7282779330 2.0217764476  0.7479676431 1.9999473501  0.7676573532 1.9575844263  0.7873470634 1.8958464668  0.8070367735 1.8164745174  0.8267264836 1.7218338171  0.8464161937 1.6143820250  0.8661059038 1.4973954046  0.8857956140 1.3737146174  0.9054853241 1.2465546062  0.9251750342 1.1187893407  0.9448647443 0.9930977802  0.9645544544 0.8719635559  0.9842441646 0.7572010643  1.0039338747 0.6503936867  1.0236235848 0.5525484370  1.0433132949 0.4642732350  1.0630030050 0.3858409800  1.0826927152 0.3171879285  1.1023824253 0.2579531031  1.1220721354 0.2075500695  1.1417618455 0.1652362169  1.1614515556 0.1301757385  1.1811412658 0.1014938009  1.2008309759 0.0783109514  1.2205206860 0.0597817487  1.2402103961 0.0451585888  1.2599001062 0.0337608306  1.2795898164 0.0249840178  1.2992795265 0.0183047254  1.3189692366 0.0132797933  1.3386589467 0.0095416164  1.3583486569 0.0067909533  1.3780383670 0.0047884424  1.3977280771 0.0033451155  1.4174177872 0.0023149983  1.4371074973 0.0015870196  1.4567972075 0.0010776440  1.4764869176 0.0007247682 
6  -0.0666110536 0.0017087890  -0.0473121238 0.0023418434  -0.0280131940 0.0031881791  -0.0087142641 0.0043132656  0.0105846657 0.0058011153  0.0298835955 0.0077592858  0.0491825253 0.0103252392  0.0684814551 0.0136744473  0.0877803850 0.0180007858  0.1070793148 0.0235040267  0.1263782446 0.0304544172  0.1456771744 0.0391754999  0.1649761042 0.0500534538  0.1842750341 0.0635488678  0.2035739639 0.0802111728  0.2228728937 0.1006964620  0.2421718235 0.1257580638  0.2614707534 0.1557740391  0.2807696832 0.1912388253  0.3000686130 0.2327729555  0.3193675428 0.2810076617  0.3386664726 0.3365787616  0.3579654025 0.4001214938  0.3772643323 0.4722667834  0.3965632621 0.5536349186  0.4158621919 0.6435846840  0.4351611217 0.7412111555  0.4544600516 0.8463333678  0.4737589814 0.9586525327  0.4930579112 1.0761059394  0.5123568410 1.1973144773  0.5316557708 1.3201650463  0.5509547007 1.4421744693  0.5702536305 1.5608163637  0.5895525603 1.6731681194  0.6088514901 1.7763998791  0.6281504199 1.8676271484  0.6474493498 1.9441463732  0.6667482796 2.0036049129  0.6860472094 2.0439949391  0.7053461392 2.0638889734  0.7246450691 2.0624914702  0.7439439989 2.0396196568  0.7632429287 1.9958544586  0.7825418585 1.9323742799  0.8018407883 1.8510005685  0.8211397182 1.7541017396  0.8404386480 1.6443854934  0.8597375778 1.5249152343  0.8790365076 1.3987694999  0.8983354374 1.2691524855  0.9176343673 1.1391362508  0.9369332971 1.0112171203  0.9562322269 0.8881028725  0.9755311567 0.7716259214  0.9948300865 0.6630226490  1.0141290164 0.5632619787  1.0334279462 0.4731849848  1.0527268760 0.3933022345  1.0720258058 0.3234766365  1.0913247356 0.2632847390  1.1106236655 0.2120898740  1.1299225953 0.1691106187  1.1492215251 0.1334823169  1.1685204549 0.1043094666  1.1878193848 0.0806942968  1.2071183146 0.0617734398  1.2264172444 0.0467995725  1.2457161742 0.0350930876  1.2650151040 0.0260494948  1.2843140339 0.0191440357  1.3036129637 0.0139310096  1.3229118935 0.0100393368  1.3422108233 0.0071657657  1.3615097531 0.0050701657  1.3808086830 0.0035574877  1.4001076128 0.0024748179  1.4194065426 0.0017066267  1.4387054724 0.0011663963  1.4580044022 0.0007899197 
7  -0.0576234083 0.0016838957  -0.0386179455 0.0023114805  -0.0196124828 0.0031518625  -0.0006070200 0.0042708616  0.0183984428 0.0057531299  0.0374039056 0.0077073052  0.0564093684 0.0102725875  0.0754148312 0.0136271581  0.0944202940 0.0179681612  0.1134257567 0.0234985692  0.1324312195 0.0304934654  0.1514366823 0.0392824978  0.1704421451 0.0502594499  0.1894476079 0.0638942923  0.2084530707 0.0807479433  0.2274585335 0.1014904828  0.2464639962 0.1268919739  0.2654694590 0.1573460528  0.2844749218 0.1933633814  0.3034803846 0.2355817864  0.3224858474 0.2846496849  0.3414913102 0.3412193421  0.3604967730 0.4059410132  0.3795022357 0.4794584717  0.3985076985 0.5624019333  0.4175131613 0.6541302873  0.4365186241 0.7536970829  0.4555240869 0.8608421251  0.4745295497 0.9752395792  0.4935350125 1.0949629485  0.5125404752 1.2184315961  0.5315459380 1.3434939330  0.5505514008 1.4676395025  0.5695568636 1.5882296695  0.5885623264 1.7023446605  0.6075677892 1.8070421934  0.6265732520 1.8993879619  0.6455787148 1.9766511152  0.6645841775 2.0365500214  0.6835896403 2.0769070147  0.7025951031 2.0964125540  0.7216005659 2.0942245069  0.7406060287 2.0702562288  0.7596114915 2.0250918913  0.7786169543 1.9599704549  0.7976224170 1.8768025686  0.8166278798 1.7780106542  0.8356333426 1.6663564574  0.8546388054 1.5449247903  0.8736442682 1.4168961751  0.8926497310 1.2854647821  0.9116551938 1.1537099927  0.9306606565 1.0242649519  0.9496661193 0.8995459592  0.9686715821 0.7817978082  0.9876770449 0.6721236286  1.0066825077 0.5712318025  1.0256879705 0.4800496286  1.0446934333 0.3992777872  1.0636988960 0.3287113259  1.0827043588 0.2678787274  1.1017098216 0.2161122384  1.1207152844 0.1726122470  1.1397207472 0.1365049799  1.1587262100 0.1068915965  1.1777316728 0.0828852853  1.1967371355 0.0636391668  1.2157425983 0.0483811795  1.2347480611 0.0364189451  1.2537535239 0.0271438371  1.2727589867 0.0200309761  1.2917644495 0.0146357170  1.3107699123 0.0105876832  1.3297753750 0.0075834194  1.3487808378 0.0053874875  1.3677863006 0.0037999368  1.3867917634 0.0026600321  1.4057972262 0.0018474356  1.4248026890 0.0012725510  1.4438081518 0.0008690725 
8  -0.0667555758 0.0017694663  -0.0479851210 0.0024198063  -0.0292146663 0.0032877994  -0.0104442115 0.0044401561  0.0083262433 0.0059626765  0.0270966980 0.0079655570  0.0458671528 0.0105902153  0.0646376076 0.0140180948  0.0834080624 0.0184479033  0.1021785171 0.0240806892  0.1209489719 0.0311927969  0.1397194267 0.0401157566  0.1584898815 0.0512463192  0.1772603362 0.0650592639  0.1960307910 0.0821232537  0.2148012458 0.1031206023  0.2335717005 0.1288377188  0.2523421553 0.1596519256  0.2711126101 0.1960666940  0.2898830649 0.2387237027  0.3086535196 0.2882788825  0.3274239744 0.3453975164  0.3461944292 0.4107505981  0.3649648839 0.4850129481  0.3837353387 0.5688588246  0.4025057935 0.6616228123  0.4212762483 0.7622926309  0.4400467030 0.8705674575  0.4588171578 0.9860612519  0.4775876126 1.1072309088  0.4963580673 1.2320807500  0.5151285221 1.3586374609  0.5338989769 1.4843625126  0.5526694317 1.6065311393  0.5714398864 1.7222197913  0.5902103412 1.8284358057  0.6089807960 1.9221999944  0.6277512508 2.0007433268  0.6465217055 2.0617355897  0.6652921603 2.1030349507  0.6840626151 2.1231526456  0.7028330698 2.1213236264  0.7216035246 2.0973601480  0.7403739794 2.0519633101  0.7591444342 1.9862326719  0.7779148889 1.9021394876  0.7966853437 1.8021792460  0.8154557985 1.6890728131  0.8342262532 1.5660088673  0.8529967080 1.4362606721  0.8717671628 1.3029809155  0.8905376176 1.1692967411  0.9093080723 1.0379073839  0.9280785271 0.9115931787  0.9468489819 0.7922436018  0.9656194367 0.6808732815  0.9843898914 0.5782929010  1.0031603462 0.4856113380  1.0219308010 0.4036405975  1.0407012557 0.3321159136  1.0594717105 0.2705172405  1.0782421653 0.2181384505  1.0970126201 0.1741498505  1.1157830748 0.1376541122  1.1345535296 0.1077338226  1.1533239844 0.0834880624  1.1720944391 0.0640601179  1.1908648939 0.0486672677  1.2096353487 0.0366073709  1.2284058035 0.0272633313  1.2471762582 0.0201031715  1.2659467130 0.0146764821  1.2847171678 0.0106083432  1.3034876226 0.0075918289  1.3222580773 0.0053894492  1.3410285321 0.0037990529  1.3597989869 0.0026581558  1.3785694416 0.0018454438  1.3973398964 0.0012708014  1.4161103512 0.0008676651 
9  -0.0786216641 0.0018647041  -0.0600143674 0.0025390626  -0.0414070708 0.0034357466  -0.0227997741 0.0046221727  -0.0041924774 0.0061850273  0.0144148192 0.0082357013  0.0330221159 0.0109173230  0.0516294126 0.0144138976  0.0702367092 0.0189246901  0.0888440059 0.0246475875  0.1074513026 0.0318588348  0.1260585993 0.0408902452  0.1446658959 0.0521396874  0.1632731926 0.0660846415  0.1818804893 0.0832991531  0.2004877859 0.1044751713  0.2190950826 0.1304129001  0.2377023793 0.1614740279  0.2563096759 0.1981535716  0.2749169726 0.2410936397  0.2935242693 0.2909522690  0.3121315660 0.3483994113  0.3307388626 0.4141143393  0.3493461593 0.4887849674  0.3679534560 0.5731046120  0.3865607526 0.6663840486  0.4051680493 0.7676202544  0.4237753460 0.8765961350  0.4423826426 0.9930541459  0.4609899393 1.1150080104  0.4795972360 1.2409071864  0.4982045327 1.3684950139  0.5168118293 1.4953408148  0.5354191260 1.6186775296  0.5540264227 1.7355682689  0.5726337193 1.8429801662  0.5912410160 1.9379241776  0.6098483127 2.0175336949  0.6284556093 2.0795139262  0.6470629060 2.1216675736  0.6656702027 2.1424161736  0.6842774994 2.1409134446  0.7028847960 2.1170713963  0.7214920927 2.0717375405  0.7400993894 2.0057753892  0.7587066860 1.9211549701  0.7773139827 1.8203427710  0.7959212794 1.7061855445  0.8145285760 1.5820037502  0.8331358727 1.4508381305  0.8517431694 1.3161254065  0.8703504661 1.1809540246  0.8889577627 1.0481290671  0.9075650594 0.9206379370  0.9261723561 0.8000186795  0.9447796527 0.6872723691  0.9633869494 0.5832509769  0.9819942461 0.4892869000  1.0006015427 0.4063632091  1.0192088394 0.3341284682  1.0378161361 0.2719966964  1.0564234328 0.2192136414  1.0750307294 0.1749154078  1.0936380261 0.1381808459  1.1122453228 0.1080760996  1.1308526194 0.0836902684  1.1494599161 0.0641624499  1.1680672128 0.0487020217  1.1866745094 0.0365992980  1.2052818061 0.0272306417  1.2238891028 0.0200586634  1.2424963995 0.0146286665  1.2611036961 0.0105624766  1.2797109928 0.0075508129  1.2983182895 0.0053549672  1.3169255861 0.0037714551  1.3355328828 0.0026368278  1.3541401795 0.0018293932  1.3727474761 0.0012589732  1.3913547728 0.0008590961 
