0  -0.3320911076 0.0027029020  -0.3133078321 0.0036313909  -0.2945245566 0.0048472533  -0.2757412811 0.0064291981  -0.2569580056 0.0084745106  -0.2381747301 0.0111026725  -0.2193914546 0.0144595199  -0.2006081791 0.0187219901  -0.1818249036 0.0240898417  -0.1630416281 0.0307831256  -0.1442583526 0.0390738043  -0.1254750771 0.0492781115  -0.1066918016 0.0617616595  -0.0879085261 0.0769452055  -0.0691252506 0.0953110035  -0.0503419751 0.1174098561  -0.0315586996 0.1438460409  -0.0127754241 0.1749447844  0.0060078514 0.2111507062  0.0247911269 0.2530221935  0.0435744024 0.3011517014  0.0623576778 0.3561711504  0.0811409533 0.4187597744  0.0999242288 0.4896548522  0.1187075043 0.5696600302  0.1374907798 0.6580041314  0.1562740553 0.7534570848  0.1750573308 0.8556246767  0.1938406063 0.9640083889  0.2126238818 1.0780251864  0.2314071573 1.1970311056  0.2501904328 1.3191560241  0.2689737083 1.4424281950  0.2877569838 1.5647783591  0.3065402593 1.6815508745  0.3253235348 1.7914011284  0.3441068103 1.8924162830  0.3628900858 1.9806109838  0.3816733613 2.0529288718  0.4004566368 2.1066179979  0.4192399123 2.1393399544  0.4380231878 2.1497520584  0.4568064633 2.1380037357  0.4755897388 2.1043509377  0.4943730143 2.0497020408  0.5131562898 1.9756017067  0.5319395653 1.8821933419  0.5507228408 1.7702793341  0.5695061163 1.6464043335  0.5882893918 1.5130167935  0.6070726673 1.3731907822  0.6258559428 1.2314851441  0.6446392183 1.0896716271  0.6634224938 0.9517644351  0.6822057693 0.8210287045  0.7009890448 0.6998579890  0.7197723203 0.5898096832  0.7385555958 0.4906971336  0.7573388713 0.4021497950  0.7761221468 0.3248086951  0.7949054223 0.2586605428  0.8136886978 0.2031855147  0.8324719733 0.1575116213  0.8512552488 0.1205555027  0.8700385243 0.0911409037  0.8888217998 0.0680277122  0.9076050753 0.0500044893  0.9263883508 0.0362024425  0.9451716263 0.0258237691  0.9639549018 0.0181552154  0.9827381773 0.0125843369  1.0015214528 0.0086030719  1.0203047283 0.0058025407  1.0390880038 0.0038624630  1.0578712793 0.0025340909  1.0766545548 0.0016373151  1.0954378303 0.0010420778  1.1142211058 0.0006534787  1.1330043813 0.0004038608  1.1517876568 0.0002460405 
1  -0.4006747821 0.0026429935  -0.3815981046 0.0035523274  -0.3625214271 0.0047435796  -0.3434447496 0.0062941159  -0.3243680721 0.0082996094  -0.3052913946 0.0108776219  -0.2862147171 0.0141717236  -0.2671380396 0.0183562018  -0.2480613621 0.0236278835  -0.2289846846 0.0302035833  -0.2099080071 0.0383513747  -0.1908313297 0.0483830456  -0.1717546522 0.0606591408  -0.1526779747 0.0755946527  -0.1336012972 0.0936652833  -0.1145246197 0.1154143908  -0.0954479422 0.1414381487  -0.0763712647 0.1720582128  -0.0572945872 0.2077139758  -0.0382179097 0.2489570932  -0.0191412322 0.2963730940  -0.0000645547 0.3505867796  0.0190121228 0.4122700595  0.0380888003 0.4821526577  0.0571654778 0.5610304634  0.0762421553 0.6481426800  0.0953188328 0.7422680729  0.1143955103 0.8430055580  0.1334721878 0.9498457986  0.1525488653 1.0621902209  0.1716255428 1.1793739472  0.1907022203 1.2996859312  0.2097788978 1.4210982891  0.2288555752 1.5416144377  0.2479322527 1.6565876462  0.2670089302 1.7646280124  0.2860856077 1.8639051116  0.3051622852 1.9505734920  0.3242389627 2.0216128025  0.3433156402 2.0743138551  0.3623923177 2.1063739237  0.3814689952 2.1164530712  0.4005456727 2.1047052579  0.4196223502 2.0713914759  0.4386990277 2.0174115818  0.4577757052 1.9442917412  0.4768523827 1.8522007925  0.4959290602 1.7420039013  0.5150057377 1.6200831657  0.5340824152 1.4888234889  0.5531590927 1.3512708738  0.5722357702 1.2118357445  0.5913124477 1.0723395978  0.6103891252 0.9367204467  0.6294658027 0.8081651711  0.6485424801 0.6890109668  0.6676191576 0.5807796820  0.6866958351 0.4832907620  0.7057725126 0.3961846195  0.7248491901 0.3200884698  0.7439258676 0.2549890304  0.7630025451 0.2003769494  0.7820792226 0.1553976927  0.8011559001 0.1189892322  0.8202325776 0.0899979870  0.8393092551 0.0672074670  0.8583859326 0.0494287090  0.8774626101 0.0358073534  0.8965392876 0.0255588606  0.9156159651 0.0179817587  0.9346926426 0.0124735292  0.9537693201 0.0085341080  0.9728459976 0.0057608110  0.9919226751 0.0038379909  1.0109993526 0.0025203258  1.0300760301 0.0016299980  1.0491527076 0.0010384827  1.0682293850 0.0006519248  1.0873060625 0.0004033537  1.1063827400 0.0002460192 
2  -0.4747635340 0.0026119245  -0.4552358382 0.0035079450  -0.4357081424 0.0046809033  -0.4161804466 0.0062065509  -0.3966527509 0.0081785016  -0.3771250551 0.0107117132  -0.3575973593 0.0139464899  -0.3380696635 0.0180530546  -0.3185419677 0.0232234972  -0.2990142720 0.0296692601  -0.2794865762 0.0376517217  -0.2599588804 0.0474747453  -0.2404311846 0.0594895636  -0.2209034889 0.0741002910  -0.2013757931 0.0917699909  -0.1818480973 0.1130274068  -0.1623204015 0.1384523758  -0.1427927057 0.1683559632  -0.1232650100 0.2031649504  -0.1037373142 0.2434163233  -0.0842096184 0.2896807772  -0.0646819226 0.3425682906  -0.0451542268 0.4027361246  -0.0256265311 0.4708996778  -0.0060988353 0.5478410656  0.0134288605 0.6328146705  0.0329565563 0.7246243502  0.0524842520 0.8228818388  0.0720119478 0.9270943575  0.0915396436 1.0366831601  0.1110673394 1.1510058584  0.1305950352 1.2684292183  0.1501227309 1.3869857965  0.1696504267 1.5047545899  0.1891781225 1.6171358352  0.2087058183 1.7227381877  0.2282335140 1.8198267517  0.2477612098 1.9047121616  0.2672889056 1.9744118708  0.2868166014 2.0262485374  0.3063442972 2.0579352718  0.3258719929 2.0680726573  0.3453996887 2.0568258922  0.3649273845 2.0244658415  0.3844550803 1.9718733167  0.4039827761 1.9005427842  0.4235104718 1.8109425508  0.4430381676 1.7033634178  0.4625658634 1.5841063042  0.4820935592 1.4557254295  0.5016212549 1.3211484387  0.5211489507 1.1849332000  0.5406766465 1.0485452196  0.5602043423 0.9158128532  0.5797320381 0.7899321901  0.5992597338 0.6732457667  0.6187874296 0.5672773284  0.6383151254 0.4718631179  0.6578428212 0.3866462389  0.6773705169 0.3122338447  0.6968982127 0.2486052956  0.7164259085 0.1952543724  0.7359536043 0.1513376327  0.7554813001 0.1158096269  0.7750089958 0.0875366110  0.7945366916 0.0653239986  0.8140643874 0.0480054958  0.8335920832 0.0347456596  0.8531197790 0.0247770937  0.8726474747 0.0174136240  0.8921751705 0.0120660677  0.9117028663 0.0082457268  0.9312305621 0.0055593949  0.9507582578 0.0036991607  0.9702859536 0.0024259709  0.9898136494 0.0015668014  1.0093413452 0.0009967671  1.0288690410 0.0006247845  1.0483967367 0.0003859481  1.0679244325 0.0002350148 
3  0.0410121438 0.0027547362  0.0572551308 0.0037317823  0.0734981178 0.0050215395  0.0897411048 0.0067127484  0.1059840918 0.0089159029  0.1222270788 0.0117676664  0.1384700658 0.0154359729  0.1547130528 0.0201258806  0.1709560397 0.0260709229  0.1871990267 0.0335304440  0.2034420137 0.0428254926  0.2196850007 0.0543310734  0.2359279877 0.0684825236  0.2521709747 0.0857826528  0.2684139617 0.1068095609  0.2846569487 0.1322252580  0.3008999357 0.1627593253  0.3171429226 0.1988300153  0.3333859096 0.2409845942  0.3496288966 0.2898944470  0.3658718836 0.3462627798  0.3821148706 0.4108270575  0.3983578576 0.4843637070  0.4146008446 0.5676955530  0.4308438316 0.6616962289  0.4470868186 0.7655094100  0.4633298055 0.8777451691  0.4795727925 0.9978818377  0.4958157795 1.1252506187  0.5120587665 1.2590575755  0.5283017535 1.3984109765  0.5445447405 1.5408552681  0.5607877275 1.6840195250  0.5770307145 1.8253778626  0.5932737015 1.9598442753  0.6095166884 2.0855959051  0.6257596754 2.2001666525  0.6420026624 2.2992325820  0.6582456494 2.3794431186  0.6744886364 2.4378205476  0.6907316234 2.4719006511  0.7069746104 2.4803388924  0.7232175974 2.4633124147  0.7394605844 2.4212365645  0.7557035713 2.3552777021  0.7719465583 2.2673162389  0.7881895453 2.1579145010  0.8044325323 2.0285015922  0.8206755193 1.8859125671  0.8369185063 1.7330508900  0.8531614933 1.5734430283  0.8694044803 1.4120006464  0.8856474673 1.2509020144  0.9018904542 1.0944214490  0.9181334412 0.9460432445  0.9343764282 0.8083410825  0.9506194152 0.6830111056  0.9668624022 0.5699783523  0.9831053892 0.4689226190  0.9993483762 0.3804695777  1.0155913632 0.3045665237  1.0318343502 0.2406331261  1.0480773371 0.1877185618  1.0643203241 0.1446455652  1.0805633111 0.1101327969  1.0968062981 0.0828255087  1.1130492851 0.0613914508  1.1292922721 0.0448534422  1.1455352591 0.0323112959  1.1617782461 0.0229567453  1.1780212331 0.0160912661  1.1942642200 0.0111306546  1.2105072070 0.0076002591  1.2267501940 0.0051242908  1.2429931810 0.0034075291  1.2592361680 0.0022332256  1.2754791550 0.0014427955  1.2917221420 0.0009190689  1.3079651290 0.0005773703  1.3242081160 0.0003577798 
4  1.1697524736 0.0031601263  1.1802467967 0.0043686288  1.1907411198 0.0059954421  1.2012354429 0.0081694362  1.2117297660 0.0110539427  1.2222240891 0.0148544311  1.2327184122 0.0198275008  1.2432127353 0.0262913269  1.2537070583 0.0346159056  1.2642013814 0.0452198463  1.2746957045 0.0586229212  1.2851900276 0.0754379369  1.2956843507 0.0963818160  1.3061786738 0.1222875783  1.3166729969 0.1541169849  1.3271673200 0.1929738965  1.3376616431 0.2400814735  1.3481559662 0.2962315714  1.3586502893 0.3623890382  1.3691446124 0.4396857128  1.3796389354 0.5292804135  1.3901332585 0.6323507463  1.4006275816 0.7500868776  1.4111219047 0.8836880779  1.4216162278 1.0343544006  1.4321105509 1.2008467175  1.4426048740 1.3810148042  1.4530991971 1.5737080949  1.4635935202 1.7774101040  1.4740878433 1.9902666574  1.4845821664 2.2101287934  1.4950764895 2.4343748163  1.5055708125 2.6569650396  1.5160651356 2.8744102308  1.5265594587 3.0807722530  1.5370537818 3.2708061851  1.5475481049 3.4410689402  1.5580424280 3.5849784427  1.5685367511 3.6977872759  1.5790310742 3.7762295173  1.5895253973 3.8179901939  1.6000197204 3.8213657712  1.6105140435 3.7849511992  1.6210083666 3.7101087937  1.6315026896 3.5994185375  1.6419970127 3.4564641351  1.6524913358 3.2819378175  1.6629856589 3.0828773344  1.6734799820 2.8645827381  1.6839743051 2.6316281306  1.6944686282 2.3913427399  1.7049629513 2.1479037546  1.7154572744 1.9065993491  1.7259515975 1.6732210117  1.7364459206 1.4521553527  1.7469402437 1.2466811889  1.7574345667 1.0590023997  1.7679288898 0.8891965916  1.7784232129 0.7369938038  1.7889175360 0.6031467484  1.7994118591 0.4875352782  1.8099061822 0.3893532457  1.8204005053 0.3073031720  1.8308948284 0.2397764760  1.8413891515 0.1850091397  1.8518834746 0.1411259654  1.8623777977 0.1062597361  1.8728721208 0.0789787116  1.8833664438 0.0579587956  1.8938607669 0.0420034679  1.9043550900 0.0300674033  1.9148494131 0.0212637652  1.9253437362 0.0148595746  1.9358380593 0.0102631016  1.9463323824 0.0070000108  1.9568267055 0.0047123954  1.9673210286 0.0031316515  1.9778153517 0.0020547530  1.9883096748 0.0013312697  1.9988039979 0.0008518409 
5  0.0795453468 0.0027804889  0.0955959780 0.0037671312  0.1116466092 0.0050697236  0.1276972403 0.0067779912  0.1437478715 0.0090036818  0.1597985027 0.0118850472  0.1758491339 0.0155920259  0.1918997651 0.0203321955  0.2079503962 0.0263419036  0.2240010274 0.0338834898  0.2400516586 0.0432819334  0.2561022898 0.0549169134  0.2721529210 0.0692293007  0.2882035521 0.0867284402  0.3042541833 0.1080001357  0.3203048145 0.1337154683  0.3363554457 0.1646131656  0.3524060769 0.2011002561  0.3684567081 0.2437237154  0.3845073392 0.2931656330  0.4005579704 0.3501478135  0.4166086016 0.4154376610  0.4326592328 0.4898570770  0.4487098640 0.5742949235  0.4647604951 0.6697166773  0.4808111263 0.7751710278  0.4968617575 0.8891016879  0.5129123887 1.0109242661  0.5289630199 1.1398951177  0.5450136510 1.2751346634  0.5610642822 1.4156565321  0.5771149134 1.5601596503  0.5931655446 1.7046399455  0.6092161758 1.8472335315  0.6252668070 1.9838671813  0.6413174381 2.1111332145  0.6573680693 2.2271380304  0.6734187005 2.3273084747  0.6894693317 2.4078314875  0.7055199629 2.4663908168  0.7215705940 2.5012650328  0.7376212252 2.5110612380  0.7536718564 2.4940922964  0.7697224876 2.4510587552  0.7857731188 2.3835965381  0.8018237499 2.2940423527  0.8178743811 2.1819416364  0.8339250123 2.0520204959  0.8499756435 1.9080621848  0.8660262747 1.7527866491  0.8820769059 1.5917674137  0.8981275370 1.4277465524  0.9141781682 1.2642589827  0.9302287994 1.1059814180  0.9462794306 0.9562287529  0.9623300618 0.8174351031  0.9783806929 0.6911902728  0.9944313241 0.5771999974  1.0104819553 0.4750484609  1.0265325865 0.3855014888  1.0425832177 0.3085949342  1.0586338488 0.2437946404  1.0746844800 0.1901648228  1.0907351112 0.1465227023  1.1067857424 0.1115697355  1.1228363736 0.0839236024  1.1388870047 0.0622188541  1.1549376359 0.0454678341  1.1709882671 0.0327611246  1.1870388983 0.0232816375  1.2030895295 0.0163228632  1.2191401607 0.0112936719  1.2351907918 0.0077136141  1.2512414230 0.0052021911  1.2672920542 0.0034603692  1.2833426854 0.0022685692  1.2993933166 0.0014661108  1.3154439477 0.0009342401  1.3314945789 0.0005871093  1.3475452101 0.0003639484 
6  -0.7385267639 0.0025469893  -0.7171455526 0.0034059742  -0.6957643414 0.0045257535  -0.6743831302 0.0059763473  -0.6530019189 0.0078439755  -0.6316207077 0.0102341602  -0.6102394965 0.0132752850  -0.5888582852 0.0171226607  -0.5674770740 0.0219506025  -0.5460958628 0.0279499026  -0.5247146516 0.0353565289  -0.5033334403 0.0444441941  -0.4819522291 0.0555286552  -0.4605710179 0.0689726008  -0.4391898066 0.0851910542  -0.4178085954 0.1046574007  -0.3964273842 0.1278885474  -0.3750461729 0.1551355971  -0.3536649617 0.1867683910  -0.3322837505 0.2232693852  -0.3109025392 0.2651616013  -0.2895213280 0.3130181510  -0.2681401168 0.3674748462  -0.2467589056 0.4292464309  -0.2253776943 0.4991411567  -0.2039964831 0.5763780789  -0.1826152719 0.6597147089  -0.1612340606 0.7487825271  -0.1398528494 0.8431255354  -0.1184716382 0.9422192554  -0.0970904269 1.0454928898  -0.0757092157 1.1524350853  -0.0543280045 1.2600204151  -0.0329467932 1.3670800579  -0.0115655820 1.4704932427  0.0098156292 1.5676511148  0.0311968404 1.6570189296  0.0525780517 1.7357296237  0.0739592629 1.8005647604  0.0953404741 1.8492894824  0.1167216854 1.8800437452  0.1381028966 1.8914359631  0.1594841078 1.8828178113  0.1808653191 1.8544825339  0.2022465303 1.8073564437  0.2236277415 1.7429314753  0.2450089528 1.6616869729  0.2663901640 1.5634853163  0.2877713752 1.4543181782  0.3091525864 1.3364831421  0.3305337977 1.2127048084  0.3519150089 1.0872225824  0.3732962201 0.9613836812  0.3946774314 0.8388713614  0.4160586426 0.7227190179  0.4374398538 0.6151403896  0.4588210651 0.5175648829  0.4802022763 0.4297739661  0.5015834875 0.3513930062  0.5229646988 0.2830299687  0.5443459100 0.2246836882  0.5657271212 0.1758830491  0.5871083324 0.1358323638  0.6084895437 0.1035435075  0.6298707549 0.0779464494  0.6512519661 0.0579162400  0.6726331774 0.0423591137  0.6940143886 0.0304997043  0.7153955998 0.0216274919  0.7367768111 0.0151090780  0.7581580223 0.0104028072  0.7795392335 0.0070616051  0.8009204448 0.0047277675  0.8223016560 0.0031229177  0.8436828672 0.0020323984  0.8650640784 0.0013020162  0.8864452897 0.0008212882  0.9078265009 0.0005102217  0.9292077121 0.0003122618  0.9505889234 0.0001883163 
7  -1.0341612085 0.0024559779  -1.0106169975 0.0032719710  -0.9870727865 0.0043318115  -0.9635285754 0.0056998566  -0.9399843644 0.0074550707  -0.9164401534 0.0096937597  -0.8928959424 0.0125326970  -0.8693517313 0.0161126814  -0.8458075203 0.0205911855  -0.8222633093 0.0261400465  -0.7987190983 0.0329713886  -0.7751748872 0.0413306354  -0.7516306762 0.0515002064  -0.7280864652 0.0638037176  -0.7045422542 0.0786106177  -0.6809980431 0.0963413501  -0.6574538321 0.1174545218  -0.6339096211 0.1421800764  -0.6103654100 0.1708495921  -0.5868211990 0.2038901437  -0.5632769880 0.2417611334  -0.5397327770 0.2849611016  -0.5161885659 0.3340368721  -0.4926443549 0.3895954238  -0.4691001439 0.4523140704  -0.4455559329 0.5215560262  -0.4220117218 0.5963183573  -0.3984675108 0.6763257361  -0.3749232998 0.7612343098  -0.3513790888 0.8506476027  -0.3278348777 0.9441349625  -0.3042906667 1.0405063622  -0.2807464557 1.1382915692  -0.2572022447 1.2359831799  -0.2336580336 1.3295344210  -0.2101138226 1.4179738687  -0.1865696116 1.5000860047  -0.1630254006 1.5726631091  -0.1394811895 1.6330724916  -0.1159369785 1.6789326202  -0.0923927675 1.7081536246  -0.0688485565 1.7193558963  -0.0453043454 1.7126776425  -0.0217601344 1.6882781537  0.0017840766 1.6468023668  0.0253282876 1.5894199395  0.0488724987 1.5164837282  0.0724167097 1.4273761529  0.0959609207 1.3278847501  0.1195051317 1.2202887653  0.1430493428 1.1069997414  0.1665935538 0.9922617390  0.1901377648 0.8769666887  0.2136819758 0.7645019060  0.2372261869 0.6578136114  0.2607703979 0.5590441799  0.2843146089 0.4695680952  0.3078588199 0.3891586841  0.3314030310 0.3174372659  0.3549472420 0.2549845430  0.3784914530 0.2018001716  0.4020356640 0.1574374005  0.4255798751 0.1211434572  0.4491240861 0.0919866199  0.4726682971 0.0689618611  0.4962125081 0.0510161424  0.5197567192 0.0371308323  0.5433009302 0.0265923129  0.5668451412 0.0187476035  0.5903893522 0.0130159981  0.6139335633 0.0089027694  0.6374777743 0.0060015380  0.6610219853 0.0039889963  0.6845661963 0.0026151348  0.7081104074 0.0016885062  0.7316546184 0.0010726941  0.7551988294 0.0006707090  0.7787430404 0.0004128551  0.8022872515 0.0002502574  0.8258314625 0.0001494246 
8  -0.3396458252 0.0026413812  -0.3210238949 0.0035560831  -0.3024019646 0.0047562950  -0.2837800343 0.0063209170  -0.2651581040 0.0083476489  -0.2465361737 0.0109566902  -0.2279142434 0.0142949970  -0.2092923132 0.0185411467  -0.1906703829 0.0238972248  -0.1720484526 0.0305863402  -0.1534265223 0.0388842798  -0.1348045920 0.0491120706  -0.1161826617 0.0616412180  -0.0975607314 0.0768996034  -0.0789388011 0.0953779649  -0.0603168709 0.1176370720  -0.0416949406 0.1442914850  -0.0230730103 0.1756599225  -0.0044510800 0.2121903467  0.0141708503 0.2544544329  0.0327927806 0.3030654263  0.0514147109 0.3586866848  0.0700366411 0.4220434002  0.0886585714 0.4939380480  0.1072805017 0.5752637359  0.1259024320 0.6651591043  0.1445243623 0.7622216865  0.1631462926 0.8659710443  0.1817682229 0.9758000554  0.2003901532 1.0909950850  0.2190120834 1.2107607322  0.2376340137 1.3344984780  0.2562559440 1.4585067821  0.2748778743 1.5814034166  0.2934998046 1.6996883999  0.3121217349 1.8103131208  0.3307436652 1.9119218328  0.3493655955 2.0001736148  0.3679875257 2.0717524993  0.3866094560 2.1246026995  0.4052313863 2.1571697951  0.4238533166 2.1680810657  0.4424752469 2.1557619208  0.4610971772 2.1207690902  0.4797191075 2.0644481835  0.4983410378 1.9887642555  0.5169629680 1.8928298046  0.5355848983 1.7809617499  0.5542068286 1.6565418552  0.5728287589 1.5217505572  0.5914506892 1.3816941231  0.6100726195 1.2386200739  0.6286945498 1.0957650712  0.6473164800 0.9573448419  0.6659384103 0.8264102531  0.6845603406 0.7051866360  0.7031822709 0.5951113965  0.7218042012 0.4958245402  0.7404261315 0.4068877958  0.7590480618 0.3290456339  0.7776699921 0.2623586003  0.7962919223 0.2063550321  0.8149138526 0.1601910654  0.8335357829 0.1227970304  0.8521577132 0.0930007968  0.8707796435 0.0695573061  0.8894015738 0.0512430530  0.9080235041 0.0371888854  0.9266454344 0.0265963015  0.9452673646 0.0187500853  0.9638892949 0.0130347637  0.9825112252 0.0089385071  1.0011331555 0.0060482916  1.0197550858 0.0040396477  1.0383770161 0.0026597759  1.0569989464 0.0017249958  1.0756208767 0.0011022354  1.0942428069 0.0006940741  1.1128647372 0.0004308086  1.1314866675 0.0002636404 
9  -0.3866615217 0.0026400045  -0.3677215926 0.0035499940  -0.3487816636 0.0047426685  -0.3298417345 0.0062957848  -0.3109018055 0.0083055561  -0.2919618764 0.0108902805  -0.2730219473 0.0141945198  -0.2540820183 0.0183938827  -0.2351420892 0.0236865823  -0.2162021602 0.0302907931  -0.1972622311 0.0384767393  -0.1783223020 0.0485589493  -0.1593823730 0.0609014643  -0.1404424439 0.0759237504  -0.1215025149 0.0941072465  -0.1025625858 0.1160026754  -0.0836226567 0.1422141415  -0.0646827277 0.1730509131  -0.0457427986 0.2089493266  -0.0268028696 0.2504674793  -0.0078629405 0.2982032156  0.0110769886 0.3528021530  0.0300169176 0.4149687360  0.0489568467 0.4854808404  0.0678967757 0.5652022216  0.0868367048 0.6532878358  0.1057766339 0.7483866482  0.1247165629 0.8500639173  0.1436564920 0.9577773670  0.1625964210 1.0708985725  0.1815363501 1.1887382444  0.2004762792 1.3103263049  0.2194162082 1.4322498562  0.2383561373 1.5531663384  0.2572960663 1.6694956315  0.2762359954 1.7783526512  0.2951759245 1.8783459040  0.3141158535 1.9654645199  0.3330557826 2.0362167923  0.3519957117 2.0885730308  0.3709356407 2.1209959376  0.3898755698 2.1321960408  0.4088154988 2.1205219478  0.4277554279 2.0864215259  0.4466953570 2.0311918313  0.4656352860 1.9567502209  0.4845752151 1.8641035997  0.5035151441 1.7532694189  0.5224550732 1.6304312779  0.5413950023 1.4982693653  0.5603349313 1.3598514311  0.5792748604 1.2198010293  0.5982147894 1.0796328791  0.6171547185 0.9432409865  0.6360946476 0.8138810249  0.6550345766 0.6939419195  0.6739745057 0.5849806566  0.6929144347 0.4868488033  0.7118543638 0.3991929668  0.7307942929 0.3226220815  0.7497342219 0.2571096509  0.7686741510 0.2021372713  0.7876140800 0.1568443208  0.8065540091 0.1201645112  0.8254939382 0.0909409164  0.8444338672 0.0679537212  0.8633737963 0.0500105058  0.8823137253 0.0362542017  0.9012536544 0.0258970279  0.9201935835 0.0182339754  0.9391335125 0.0126589605  0.9580734416 0.0086685278  0.9770133706 0.0058569114  0.9959532997 0.0039057677  1.0148932288 0.0025674398  1.0338331578 0.0016622532  1.0527730869 0.0010602301  1.0717130159 0.0006663651  1.0906529450 0.0004127971  1.1095928741 0.0002521020 
