 0 0
 1.414210000000 0
 -1.414210000000 0
 0 1.414210000000
 0 -1.414210000000
 -1 1
 -1 -1
 1 1
 1 -1
 0 0 0
 1.681790000000 0 0
 -1.681790000000 0 0
 0 1.681790000000 0
 0 -1.681790000000 0
 0 0 1.681790000000
 0 0 -1.681790000000
 -1 -1 1
 -1 -1 -1
 -1 1 1
 -1 1 -1
 1 -1 1
 1 -1 -1
 1 1 1
 1 1 -1
 0 0 0 0
 2.000000000000 0 0 0
 -2.000000000000 0 0 0
 0 2.000000000000 0 0
 0 -2.000000000000 0 0
 0 0 2.000000000000 0
 0 0 -2.000000000000 0
 0 0 0 2.000000000000
 0 0 0 -2.000000000000
 -1 -1 -1 1
 -1 -1 -1 -1
 -1 -1 1 1
 -1 -1 1 -1
 -1 1 -1 1
 -1 1 -1 -1
 -1 1 1 1
 -1 1 1 -1
 1 -1 -1 1
 1 -1 -1 -1
 1 -1 1 1
 1 -1 1 -1
 1 1 -1 1
 1 1 -1 -1
 1 1 1 1
 1 1 1 -1
 0 0 0 0 0
 2.000000000000 0 0 0 0
 -2.000000000000 0 0 0 0
 0 2.000000000000 0 0 0
 0 -2.000000000000 0 0 0
 0 0 2.000000000000 0 0
 0 0 -2.000000000000 0 0
 0 0 0 2.000000000000 0
 0 0 0 -2.000000000000 0
 0 0 0 0 2.000000000000
 0 0 0 0 -2.000000000000
 -1 -1 -1 -1 1
 -1 -1 -1 1 -1
 -1 -1 1 -1 -1
 -1 -1 1 1 1
 -1 1 -1 -1 -1
 -1 1 -1 1 1
 -1 1 1 -1 1
 -1 1 1 1 -1
 1 -1 -1 -1 -1
 1 -1 -1 1 1
 1 -1 1 -1 1
 1 -1 1 1 -1
 1 1 -1 -1 1
 1 1 -1 1 -1
 1 1 1 -1 -1
 1 1 1 1 1
 0 0 0 0 0 0
 2.378410000000 0 0 0 0 0
 -2.378410000000 0 0 0 0 0
 0 2.378410000000 0 0 0 0
 0 -2.378410000000 0 0 0 0
 0 0 2.378410000000 0 0 0
 0 0 -2.378410000000 0 0 0
 0 0 0 2.378410000000 0 0
 0 0 0 -2.378410000000 0 0
 0 0 0 0 2.378410000000 0
 0 0 0 0 -2.378410000000 0
 0 0 0 0 0 2.378410000000
 0 0 0 0 0 -2.378410000000
 -1 -1 -1 -1 1 1
 -1 -1 -1 -1 1 -1
 -1 -1 -1 1 -1 1
 -1 -1 -1 1 -1 -1
 -1 -1 1 -1 -1 1
 -1 -1 1 -1 -1 -1
 -1 -1 1 1 1 1
 -1 -1 1 1 1 -1
 -1 1 -1 -1 -1 1
 -1 1 -1 -1 -1 -1
 -1 1 -1 1 1 1
 -1 1 -1 1 1 -1
 -1 1 1 -1 1 1
 -1 1 1 -1 1 -1
 -1 1 1 1 -1 1
 -1 1 1 1 -1 -1
 1 -1 -1 -1 -1 1
 1 -1 -1 -1 -1 -1
 1 -1 -1 1 1 1
 1 -1 -1 1 1 -1
 1 -1 1 -1 1 1
 1 -1 1 -1 1 -1
 1 -1 1 1 -1 1
 1 -1 1 1 -1 -1
 1 1 -1 -1 1 1
 1 1 -1 -1 1 -1
 1 1 -1 1 -1 1
 1 1 -1 1 -1 -1
 1 1 1 -1 -1 1
 1 1 1 -1 -1 -1
 1 1 1 1 1 1
 1 1 1 1 1 -1
 0 0 0 0 0 0 0
 2.828430000000 0 0 0 0 0 0
 -2.828430000000 0 0 0 0 0 0
 0 2.828430000000 0 0 0 0 0
 0 -2.828430000000 0 0 0 0 0
 0 0 2.828430000000 0 0 0 0
 0 0 -2.828430000000 0 0 0 0
 0 0 0 2.828430000000 0 0 0
 0 0 0 -2.828430000000 0 0 0
 0 0 0 0 2.828430000000 0 0
 0 0 0 0 -2.828430000000 0 0
 0 0 0 0 0 2.828430000000 0
 0 0 0 0 0 -2.828430000000 0
 0 0 0 0 0 0 2.828430000000
 0 0 0 0 0 0 -2.828430000000
 -1 -1 -1 -1 1 -1 1
 -1 -1 -1 -1 1 -1 -1
 -1 -1 -1 -1 1 1 1
 -1 -1 -1 -1 1 1 -1
 -1 -1 -1 1 -1 -1 1
 -1 -1 -1 1 -1 -1 -1
 -1 -1 -1 1 -1 1 1
 -1 -1 -1 1 -1 1 -1
 -1 -1 1 -1 -1 -1 1
 -1 -1 1 -1 -1 -1 -1
 -1 -1 1 -1 -1 1 1
 -1 -1 1 -1 -1 1 -1
 -1 -1 1 1 1 -1 1
