test tp ndis tn nndis
1  19  29  81  82
1   8  10  13  22
1  41  53  49  50
1   5   7  18  19
1  45  77 165 223
1   8  10  32  38
1   5   6   7  15
1  15  26  52  69
1  16  24  24  35
1   4   6  25  33
1   8  18  70  82
1  10  14  55  59
1   2   8  23  28
1   7  14  30  40
1  44  56 135 185
1   8   9  37  40
1   4   4  14  17
2   0   6  17  18
2  12  15   7  10
2   4   6  13  14
2  10  13  25  29
2   3   7  12  13
2   9  12  29  32
2  10  16  11  14
2  10  12  20  21
2  12  14   9  11
2   5  10  12  15
2   2  11  32  32
2   3  12  38  39
2   1   3  18  19
2   5   7  61  63
2  21  61 184 192
2   4  13  42  45
2   0   5  15  15
2   7  29 158 169
2   3   5  29  32
3   9  11  44  46
3   3   8  32  38
3   3   4  16  18
3   3  15  44  45
3   0   5  15  15
3   7  29 167 169
3  12  16  29  33
3  23  37 230 235
3   8  13  53  58
3  16  18  22  24
