0 1 2
1 1 0
2 1 0
3 1 0
4 1 2
5 1 0
6 1 0
7 1 1
8 1 0
9 1 0
10 1 1
11 1 0
12 1 0
13 1 0
14 1 1
15 1 0
16 1 1
17 1 1
18 1 7
19 1 1
20 1 0
21 1 3
22 1 4
23 1 0
24 1 1
25 1 1
26 1 0
27 1 2
28 1 1
29 1 3
30 1 3
31 1 1
32 1 4
33 1 2
34 1 0
35 1 0
36 1 1
37 1 0
38 1 0
39 1 0
40 1 0
41 1 2
42 1 0
43 1 0
44 1 0
45 1 4
46 1 1
47 1 5
48 1 0
49 1 0
50 1 2
51 1 2
52 1 0
53 1 1
54 1 1
55 1 0
56 1 0
57 1 4
58 1 0
59 1 2
60 1 2
61 1 3
62 1 2
63 1 1
64 1 0
65 1 0
66 1 1
67 1 1
68 1 6
69 1 6
70 1 0
71 1 5
72 1 2
73 1 1
74 1 4
75 1 1
76 1 0
77 1 0
78 1 0
79 1 1
80 1 1
81 1 0
82 1 0
83 1 0
84 1 1
85 1 0
86 1 0
87 1 0
88 1 1
89 1 2
90 1 1
91 1 0
92 1 1
93 1 0
94 1 2
95 1 1
96 1 0
97 1 2
98 1 0
99 1 0
100 1 2
101 1 3
102 1 1
103 1 2
104 1 3
105 1 1
106 1 0
107 1 6
108 1 1
109 1 0
110 1 1
111 1 0
112 1 1
113 1 1
114 1 6
115 1 1
116 1 3
117 1 2
118 1 1
119 1 0
120 1 1
121 1 1
122 1 1
123 1 1
124 1 8
125 1 14
126 1 4
127 1 1
128 1 0
129 1 1
130 1 0
131 1 0
132 1 0
133 1 1
134 1 0
135 1 0
136 1 0
137 1 0
138 1 2
139 1 9
140 1 4
141 1 2
142 1 1
143 1 3
144 1 3
145 1 1
146 1 0
147 1 1
148 1 0
149 1 5
150 1 9
151 1 7
152 1 1
153 1 0
154 1 3
155 1 1
156 1 0
157 1 0
158 1 7
159 1 0
160 1 1
161 1 0
162 1 1
163 1 1
164 1 1
165 1 2
166 1 6
167 1 2
168 1 1
169 1 1
170 1 1
171 1 1
172 1 3
173 1 2
174 1 2
175 1 15
176 1 8
177 1 16
178 1 2
179 1 2
180 1 0
181 1 0
182 1 0
183 1 0
184 1 0
185 1 1
186 1 2
187 1 1
188 1 11
189 1 1
190 1 2
191 1 0
192 1 0
193 1 0
194 1 0
195 1 1
196 1 0
197 1 0
198 1 4
199 1 0
200 1 0
201 1 3
202 1 2
