"UTM_X","UTM_Y"
413.9044375,5049.2245
413.92240625,5049.2335
413.96915625,5049.256
414.03884375,5049.311
414.0816875,5049.3485
414.1129375,5049.3845
414.135875,5049.41
414.1546875,5049.4175
414.198375,5049.4295
414.299875,5049.45
414.33665625,5049.457
414.3330625,5049.479
414.31340625,5049.574
414.30125,5049.628
414.26696875,5049.7255
414.253125,5049.769
414.2185625,5049.8715
414.20115625,5049.9245
414.15828125,5050.0175
414.13946875,5050.0635
414.10159375,5050.1585
414.080875,5050.208
414.051,5050.2875
414.043375,5050.2925
414.02725,5050.3255
413.99809375,5050.4005
413.97203125,5050.4845
413.95996875,5050.5335
413.9556875,5050.6375
413.97915625,5050.741
413.99384375,5050.793
414.0215625,5050.8835
414.056625,5050.9815
414.07346875,5051.027
414.091,5051.076
414.0955,5051.1025
414.0805625,5051.1235
414.04715625,5051.1655
413.98484375,5051.2465
413.9305625,5051.315
413.98153125,5051.3945
414.01990625,5051.434
414.04575,5051.4785
414.0533125,5051.528
414.05403125,5051.583
414.05121875,5051.6475
414.04928125,5051.6925
414.05475,5051.719
414.0649375,5051.7465
414.09384375,5051.7955
414.12915625,5051.8355
414.1691875,5051.872
414.22915625,5051.9605
414.25615625,5052.0095
414.28009375,5052.0595
414.30521875,5052.106
414.32678125,5052.151
414.34503125,5052.193
414.40709375,5052.2795
414.4580625,5052.3655
414.4848125,5052.412
414.50425,5052.4575
414.527,5052.5075
414.54453125,5052.549
414.5668125,5052.6005
414.59265625,5052.645
414.65828125,5052.6895
414.7051875,5052.721
414.72415625,5052.7345
414.7464375,5052.756
414.7691875,5052.7815
414.783625,5052.81
414.788375,5052.827
414.788375,5052.864
414.788375,5052.918
414.78978125,5052.9545
414.797625,5052.9995
414.80565625,5053.012
414.81871875,5053.0235
414.88221875,5053.046
414.92840625,5053.067
414.97840625,5053.096
415.06965625,5053.159
415.10778125,5053.1875
415.17934375,5053.268
415.24453125,5053.3445
415.27603125,5053.3775
415.3094375,5053.416
415.338125,5053.456
415.35803125,5053.503
415.36465625,5053.5535
415.365625,5053.605
415.36465625,5053.66
415.3663125,5053.715
415.36703125,5053.768
415.37721875,5053.8355
415.4165625,5053.91
415.43409375,5053.9605
415.4596875,5054.0095
415.49309375,5054.0495
415.506125,5054.0595
415.53053125,5054.07
415.560375,5054.077
415.726375,5054.092
415.78078125,5054.0975
415.8366875,5054.112
415.91921875,5054.134
416.043,5054.171
416.11446875,5054.187
416.15603125,5054.198
416.19578125,5054.217
416.246,5054.245
416.28996875,5054.27
416.34496875,5054.2985
416.38503125,5054.317
416.41315625,5054.33
416.4439375,5054.34
416.493875,5054.358
416.5405,5054.372
416.5751875,5054.378
