"Station.ID","Date","A","UTMX","UTMY","WS","TEMP","HMIX","PREC","EMI","PM10"
1,"01/10/05",95.2,469.45,4972.85,0.9,288.81,1294.6,0,26.05,28
2,"01/10/05",164.1,423.48,4950.69,0.82,288.67,1139.8,0,18.74,22
3,"01/10/05",242.9,490.71,4948.86,0.96,287.44,1404,0,6.28,17
4,"01/10/05",149.9,437.36,4973.34,1.17,288.63,1042.4,0,29.35,25
5,"01/10/05",405,426.44,5045.66,0.6,287.63,1038.7,0,32.19,20
6,"01/10/05",257.5,394.6,5001.18,1.02,288.59,1048.3,0,34.24,41
7,"01/10/05",313.2,457.96,5061.46,1.09,287.46,1114.9,1.05,17.53,17
8,"01/10/05",345.2,444.29,5062.64,0.9,287.21,1062.6,0,11.97,18
9,"01/10/05",331,376.96,4993.48,0.64,287.33,973.89,0,16.15,33
10,"01/10/05",280.4,416.65,4985.65,0.81,288.06,995,0,5.93,23
11,"01/10/05",238.8,399.22,4967.87,0.57,288.18,1000,0,14.11,29
12,"01/10/05",118.3,456.49,4998.42,1.02,288.93,1131.4,0,25.54,32
13,"01/10/05",124.7,483.36,5028.7,0.91,289.16,1010.4,0,7.02,NA
14,"01/10/05",551.6,383.63,4915.52,0.82,287.36,976.52,0,24.09,34
15,"01/10/05",271.7,436.69,5046.69,0.81,287.83,1075.1,0,19.26,17
16,"01/10/05",337,386.95,5003.68,0.77,288.25,1019.1,0,7.08,24
17,"01/10/05",154,470.41,5031.91,1.09,288.73,882.32,0,36.7,27
18,"01/10/05",201.7,483.16,4956.77,1.22,288.2,1410.9,0,12.22,36
19,"01/10/05",374.9,368.18,4971.65,0.68,288.53,958.9,0,23.6,37
20,"01/10/05",243.6,393.64,4986.79,0.72,288.43,1045,0,187.11,28
21,"01/10/05",243.6,396.04,4992.42,0.68,288.77,1108,0,184.5,46
22,"01/10/05",118.5,489,4971.8,1.06,288.7,1434.4,0,22.45,19
23,"01/10/05",131,454.26,5019.81,0.8,288.18,860.93,0,26.15,32
24,"01/10/05",201.4,466.4,5086.6,1.27,289.28,617.04,1.8,16.78,11
1,"02/10/05",95.2,469.45,4972.85,1.53,286.48,566.56,8.92,22.21,14
2,"02/10/05",164.1,423.48,4950.69,1.41,285.79,513.36,16.72,15.37,10
3,"02/10/05",242.9,490.71,4948.86,0.85,285.39,805.3,24.75,5.24,15
4,"02/10/05",149.9,437.36,4973.34,1.93,285.73,626.11,32.06,25.09,8
5,"02/10/05",405,426.44,5045.66,0.97,285,981.95,28.71,26.45,NA
6,"02/10/05",257.5,394.6,5001.18,1.94,285.84,668.2,7.46,26.23,19
7,"02/10/05",313.2,457.96,5061.46,2.88,284.74,920.27,22.99,14.42,NA
8,"02/10/05",345.2,444.29,5062.64,1.6,284,914.5,22.4,9.26,16
9,"02/10/05",331,376.96,4993.48,0.89,285.43,681.28,3.51,12.92,20
10,"02/10/05",280.4,416.65,4985.65,1.19,285.34,725,13.53,5.27,9
11,"02/10/05",238.8,399.22,4967.87,1.34,285.98,618.66,16.7,12.51,13
12,"02/10/05",118.3,456.49,4998.42,1.76,285.84,550.63,20.53,21.08,26
13,"02/10/05",124.7,483.36,5028.7,1.95,285.71,481.18,14.47,5.74,NA
14,"02/10/05",551.6,383.63,4915.52,1.57,284.47,409.34,38.09,18.7,16
15,"02/10/05",271.7,436.69,5046.69,1.46,284.94,897.05,31.49,15.05,26
16,"02/10/05",337,386.95,5003.68,1.29,285.68,660.69,8.76,5.34,18
17,"02/10/05",154,470.41,5031.91,2.23,285.33,432.15,23.01,28.38,12
18,"02/10/05",201.7,483.16,4956.77,1.11,286.07,526.04,13.85,9.6,29
19,"02/10/05",374.9,368.18,4971.65,0.94,285.69,654.08,19.36,19.66,27
20,"02/10/05",243.6,393.64,4986.79,1.43,285.69,625.88,12.04,145.86,13
21,"02/10/05",243.6,396.04,4992.42,1.53,285.79,661.37,9.82,150.31,25
22,"02/10/05",118.5,489,4971.8,1.22,286.41,505.1,15.54,18.32,11
23,"02/10/05",131,454.26,5019.81,2.65,285.52,454.8,23.35,21.82,26
24,"02/10/05",201.4,466.4,5086.6,2.97,285.53,692.51,41.14,13.96,5
1,"03/10/05",95.2,469.45,4972.85,0.99,284.6,416.55,15.17,37.94,16
2,"03/10/05",164.1,423.48,4950.69,0.8,283.19,534.71,16.81,21.19,6
3,"03/10/05",242.9,490.71,4948.86,0.81,283.03,426.88,22.1,7.94,10
4,"03/10/05",149.9,437.36,4973.34,1.45,283.72,384.78,11.41,32.8,13
5,"03/10/05",405,426.44,5045.66,1.14,283.29,943.32,24.29,35.98,4
6,"03/10/05",257.5,394.6,5001.18,1.57,284.05,659.7,11.89,47.61,12
7,"03/10/05",313.2,457.96,5061.46,2.35,283.63,513.74,17.42,22.94,9
8,"03/10/05",345.2,444.29,5062.64,1.92,282.68,635.25,21.77,15.03,9
9,"03/10/05",331,376.96,4993.48,1.16,283.07,544.34,15.21,23.46,6
10,"03/10/05",280.4,416.65,4985.65,1.21,283.38,506.52,10.32,6.77,12
11,"03/10/05",238.8,399.22,4967.87,1.07,283.66,527.02,22.97,15.19,4
12,"03/10/05",118.3,456.49,4998.42,1.47,284.48,377.46,14.76,28.86,15
13,"03/10/05",124.7,483.36,5028.7,1.82,284.61,275.87,7.63,9.66,NA
14,"03/10/05",551.6,383.63,4915.52,1.62,281.12,478.43,37.92,28,4
15,"03/10/05",271.7,436.69,5046.69,1.54,283.64,847.23,23.27,21.9,9
16,"03/10/05",337,386.95,5003.68,1.42,283.69,612.25,18.78,11.06,9
17,"03/10/05",154,470.41,5031.91,2.02,284.22,234.68,20.74,42.53,8
18,"03/10/05",201.7,483.16,4956.77,0.97,283.91,369.48,15.9,14.49,25
19,"03/10/05",374.9,368.18,4971.65,0.87,283,571.45,27.94,25.94,18
20,"03/10/05",243.6,393.64,4986.79,1.1,283.57,588.02,10.29,227.62,10
21,"03/10/05",243.6,396.04,4992.42,1.12,283.91,665.79,9.37,208.71,20
22,"03/10/05",118.5,489,4971.8,0.7,284.48,411.56,18.25,32.14,9
23,"03/10/05",131,454.26,5019.81,1.82,284.19,227.65,29.37,29.65,15
24,"03/10/05",201.4,466.4,5086.6,2.23,284.51,524.45,22.08,22.02,5
1,"04/10/05",95.2,469.45,4972.85,1.44,285.59,577.17,9.48,37.87,16
2,"04/10/05",164.1,423.48,4950.69,0.68,284.32,750.94,17.73,21.09,9
3,"04/10/05",242.9,490.71,4948.86,0.64,283.95,404.47,2.01,7.93,14
4,"04/10/05",149.9,437.36,4973.34,1.29,284.82,904.61,20.37,32.92,15
5,"04/10/05",405,426.44,5045.66,0.8,284.58,1276.9,6.64,35.77,13
6,"04/10/05",257.5,394.6,5001.18,1.34,285.22,1213.1,14.71,47.66,14
7,"04/10/05",313.2,457.96,5061.46,1.53,285.32,1342.3,4.92,22.84,11
8,"04/10/05",345.2,444.29,5062.64,1.3,284.22,1343.8,9.44,14.96,9
9,"04/10/05",331,376.96,4993.48,1,284,1083.8,14.48,23.6,16
10,"04/10/05",280.4,416.65,4985.65,0.93,284.47,1128.8,8.05,6.76,11
11,"04/10/05",238.8,399.22,4967.87,1.01,284.94,1102.2,12.4,15.23,11
12,"04/10/05",118.3,456.49,4998.42,1.21,285.72,587.14,12,28.7,8
13,"04/10/05",124.7,483.36,5028.7,1.36,286.28,960.46,2.58,9.63,NA
14,"04/10/05",551.6,383.63,4915.52,1.14,282.06,625.16,16.21,27.86,5
