"region" "E" "Y" "x"
0 7.9650079245 8 56
1 22.836218651 22 65
2 22.094716036 19 50
3 7.9193520491 3 63
4 13.139889126 14 65
5 15.898848048 9 51
6 14.820838634 10 50
7 19.851889969 18 41
8 25.416331246 22 50
9 11.672852059 5 45
10 23.564171755 13 53
11 16.907836042 10 50
12 19.515533897 17 49
13 12.558348212 11 55
14 19.127164535 17 30
15 165.57891707 119 67
16 25.45250024 26 56
17 11.164103181 7 63
18 12.267689048 7 41
19 12.458619781 11 52
20 22.685642959 16 40
21 17.662705275 14 46
22 10.439756603 11 64
23 15.866814373 17 46
24 9.9105937684 7 40
25 11.967625084 13 61
26 11.828191187 14 55
27 52.01196117 74 50
28 18.74909868 20 60
29 17.022285104 24 49
30 53.538631538 55 57
31 28.563816545 26 50
32 8.8909874485 8 54
33 11.51163661 18 50
34 16.051760481 22 48
35 16.826962803 25 55
36 19.930998206 22 52
37 19.010040762 20 45
38 5.5650800202 5 49
39 13.04766805 12 50
40 9.0669224565 7 52
41 13.337657004 8 62
42 12.386572691 16 57
43 15.507965206 14 57
44 10.117130333 6 55
45 10.81164987 9 49
46 6.7977287368 4 57
47 4.8321993455 8 58
48 12.885031176 10 47
49 15.211809209 20 52
50 9.1264124324 11 64
51 8.6983239637 7 46
52 15.325269411 18 49
53 9.3406424772 10 61
54 19.744886325 19 62
55 9.0891608379 5 50
56 10.814402777 4 48
57 13.013170418 11 57
58 9.2977911096 5 42
59 27.030741166 20 49
60 7.8457369214 8 50
61 8.8657648972 9 61
62 4.9013332971 6 39
63 54.880400162 63 62
64 13.310586417 12 67
65 57.424717085 64 80
66 52.604180894 57 88
67 63.67320101 88 90
68 22.413672912 14 80
69 24.24106951 31 90
70 18.737947007 21 66
71 21.502327224 29 97
72 12.200453941 19 85
73 16.270842393 17 87
74 37.210595379 47 77
75 24.43012276 33 75
76 46.604256201 55 65
77 37.953370378 38 76
78 25.063512006 16 79
79 39.638556181 29 76
80 20.855935211 20 78
81 26.410862771 25 50
82 87.666812062 84 77
83 15.725516643 14 67
84 27.491531555 31 89
85 22.313591787 37 81
86 37.307844814 46 76
87 15.6776163 14 74
88 19.938607884 19 74
89 23.933791119 21 65
90 24.520613063 26 61
91 45.370495998 35 59
92 11.051663106 17 90
93 29.331819463 71 93
94 21.102364662 13 54
95 25.427122249 19 63
96 14.384465002 13 70
97 59.775132921 69 75
98 32.422287078 23 54
99 21.455678979 20 53
100 31.111775864 25 42
101 26.780927824 19 47
102 23.692642222 19 57
103 13.527084454 10 57
104 33.340220214 25 40
105 29.458033879 41 53
106 19.543932977 13 62
107 38.681034785 47 83
108 58.364904149 72 78
109 21.462502876 18 79
110 16.174621309 14 69
111 17.621028103 25 76
112 34.898197814 40 79
113 25.079999497 24 54
114 40.701324589 47 65
115 11.246713608 18 72
116 26.220033377 27 54
117 24.95419382 20 53
118 36.480167705 42 70
119 13.143326003 19 51
120 61.442236229 76 57
121 11.111438458 13 66
122 26.62928625 31 57
123 23.541357391 23 54
124 23.2785573 22 47
125 21.921636547 33 58
126 21.195746252 20 34
127 35.489623173 42 47
128 19.423437759 21 34
129 8.9269965541 10 48
130 28.840545546 23 48
131 16.041685834 10 43
132 25.500649576 26 52
133 21.482706949 20 47
134 23.646631971 17 57
135 15.213325806 11 74
136 20.72724332 17 44
137 11.879483062 11 43
138 19.787407749 15 52
139 18.339157197 16 34
140 13.843877077 13 37
141 22.778369458 12 46
142 18.360045398 12 44
143 16.207188542 18 28
144 12.423533851 9 46
145 10.980386668 17 67
146 11.923102464 19 60
147 12.161174406 13 72
148 14.615744271 27 73
149 8.8988461479 21 65
150 6.0735435245 10 60
151 18.516771611 31 70
152 16.463835126 19 68
153 9.2185189222 14 58
154 12.393865434 7 60
155 16.820487618 17 58
156 9.0032388125 23 73
157 10.52955314 12 70
158 8.9272864412 12 74
159 6.0245877909 7 68
160 11.388042303 20 74
161 4.4963090185 7 62
162 9.7110857406 15 71
163 3.415094865 3 57
164 15.620854338 18 58
165 16.051392646 21 52
166 5.3467981241 7 27
167 5.0514331949 10 57
168 4.0851564979 4 59
169 7.3982034305 15 63
170 3.4869334193 4 61
171 9.5657334542 11 54
172 12.184911219 20 61
173 6.6383240957 9 45
174 8.8673627292 12 52
175 9.6173437532 11 64
176 7.6332221236 9 64
177 9.5032354611 11 30
178 12.776680798 14 53
179 15.137352332 13 50
180 9.7807706091 13 62
181 56.262738357 49 20
182 27.758724796 23 16
183 42.882880003 30 9
184 22.823877757 28 15
185 40.364816661 33 24
186 34.053405812 27 17
187 11.133651561 9 36
188 23.275465343 32 24
189 8.2013435606 8 19
190 14.692493154 17 18
191 12.020221139 10 19
192 12.31743873 13 9
193 25.862461093 24 27
194 5.6576189167 1 33
195 26.108946374 25 32
196 33.252980552 35 33
197 18.690288516 16 46
198 11.302758742 15 45
199 29.717826061 37 68
200 12.365586378 12 33
201 44.112661511 47 46
202 10.633361419 8 43
203 12.549738209 13 18
204 15.212459056 21 23
205 9.6954748278 9 33
206 15.179004072 13 39
207 18.634182251 11 31
208 11.917492522 12 51
209 32.622735309 32 47
210 12.167708606 10 49
211 18.765529264 21 36
212 10.691807308 7 23
213 22.630312357 19 19
214 18.185283755 23 50
215 13.818491403 15 40
216 22.317138416 28 14
217 13.521274468 13 21
218 16.065627524 15 36
219 10.018662811 11 28
220 14.232467544 16 15
221 13.736236802 13 17
222 16.907914114 20 5
223 21.363737544 24 13
224 9.8622604399 15 30
225 9.3142787742 6 35
226 118.99730968 111 29
227 5.3308258215 4 25
228 9.21117591 14 43
229 9.6684139843 3 23
230 9.9179960534 11 15
231 9.6853416612 9 38
232 8.9229819942 6 33
233 8.4546205239 9 33
234 8.1803360892 2 27
235 10.009861015 6 28
236 15.458399243 10 16
237 8.4757189628 5 28
238 7.684108828 7 13
239 8.3050827442 7 40
240 9.1325978663 10 43
241 24.111716461 9 4
242 6.8645601166 6 49
243 8.1187978367 11 35
244 18.902745071 14 24
245 11.328850674 10 13
246 14.650184807 12 35
247 10.960593858 11 36
248 5.7488551721 5 43
249 4.6219524625 3 50
250 4.1392028979 6 52
251 9.2987303437 13 35
252 6.3049358958 13 68
253 8.233547519 7 32
254 10.118840848 6 28
255 14.465222477 14 42
256 6.8500678931 15 58
257 9.9153754438 4 24
258 7.2497656404 6 38
259 7.1243498793 4 34
260 4.155542313 4 41
261 11.63173936 15 45
262 4.0821790054 2 28
263 8.6652864668 4 47
264 10.873245864 12 59
265 9.020248681 10 32
266 8.3204882804 9 34
267 12.24037642 12 47
268 11.772080283 17 50
269 7.1932164001 8 49
270 7.0684712759 4 36
271 6.7767710327 9 31
272 4.5145153405 2 36
273 5.3612181244 6 44
274 9.9537396112 10 32
275 9.3207933144 9 47
276 8.1233640486 3 36
277 8.5708069106 9 31
278 11.604436356 11 32
279 7.1998679553 5 46
280 7.4936598219 6 43
281 6.181215276 5 12
282 9.5866496676 17 44
283 4.0145501741 7 22
284 8.5716896499 11 16
285 9.6423332253 9 51
286 48.48135745 72 38
287 3.4537426579 4 38
288 14.846103371 15 25
289 9.1109710124 9 22
290 9.037177437 6 28
291 14.769838827 22 33
292 8.453004666 3 11
293 9.5722543481 7 34
294 8.2206835566 7 28
295 5.9904500873 9 45
296 5.82797138 9 22
297 11.344118753 8 35
298 14.027188646 18 35
299 10.022310104 12 27
300 7.4409642432 11 29
301 7.242366309 3 35
302 7.59848725 4 30
303 10.387902767 12 18
304 11.490269265 10 40
305 9.6108789916 2 3
306 12.293536234 18 11
307 24.986810349 37 37
308 4.2566861579 3 27
309 6.0989524931 9 38
310 3.8264260342 4 17
311 8.8285419333 8 29
312 17.844193575 19 28
313 7.3197718187 11 43
314 9.660181829 11 34
315 13.014228776 12 31
316 7.4091740683 8 21
317 11.225867509 14 34
318 11.116914422 11 20
319 10.896860169 10 39
320 12.550646611 11 18
321 34.354797368 45 88
322 9.3818679067 11 79
323 14.541947909 14 94
324 19.360929888 36 83
325 15.152116531 17 63
326 8.7811503188 9 65
327 184.46334391 215 67
328 93.300230225 92 62
329 7.5569695471 6 67
330 8.0819176152 4 26
331 3.5937298078 5 67
332 5.5087557596 8 51
333 10.20426121 7 58
334 2.856193029 3 61
335 2.9901480876 3 66
336 3.0208151296 2 67
337 4.6993022797 5 38
338 2.9521423393 2 50
339 2.984144438 2 54
340 5.8466474799 9 60
341 3.3557734709 2 70
342 4.5212251007 2 58
343 3.8887695196 2 61
344 6.3124852059 8 52
345 1.8986901578 1 69
346 4.7912509344 4 43
347 3.3343377691 3 52
348 8.3190703117 11 60
349 3.6318647242 2 61
350 2.9581154358 4 58
351 3.1178551976 2 34
352 3.1944448988 5 42
353 7.4038465327 9 54
354 2.7623858877 2 52
355 2.6826281076 4 68
356 2.5410297834 3 47
357 3.6359946828 3 67
358 6.391612749 6 52
359 5.0440426066 7 62
360 10.498562857 20 60
361 6.2788245072 2 48
362 8.1535597688 7 58
363 3.4493842643 4 73
364 2.4824611985 5 58
365 5.0883757099 4 53
366 3.1738664205 2 47
367 9.8008288739 14 50
368 3.6150257607 5 53
369 7.2391733167 9 53
370 2.6888530737 1 72
371 1.7735527253 1 59
372 5.9639964952 2 57
373 4.1368752164 8 77
374 4.8731901549 6 46
375 17.366364909 16 59
376 8.3772763357 5 57
377 5.5881781803 9 59
378 4.5907763927 3 63
379 1.7817765199 2 63
380 3.185263771 3 66
381 3.7021342993 1 58
