"y" "belt" "trend" "seasonal"
1687 0 1 1
1508 0 2 2
1507 0 3 3
1385 0 4 4
1632 0 5 5
1511 0 6 6
1559 0 7 7
1630 0 8 8
1579 0 9 9
1653 0 10 10
2152 0 11 11
2148 0 12 12
1752 0 13 13
1765 0 14 14
1717 0 15 15
1558 0 16 16
1575 0 17 17
1520 0 18 18
1805 0 19 19
1800 0 20 20
1719 0 21 21
2008 0 22 22
2242 0 23 23
2478 0 24 24
2030 0 25 25
1655 0 26 26
1693 0 27 27
1623 0 28 28
1805 0 29 29
1746 0 30 30
1795 0 31 31
1926 0 32 32
1619 0 33 33
1992 0 34 34
2233 0 35 35
2192 0 36 36
2080 0 37 37
1768 0 38 38
1835 0 39 39
1569 0 40 40
1976 0 41 41
1853 0 42 42
1965 0 43 43
1689 0 44 44
1778 0 45 45
1976 0 46 46
2397 0 47 47
2654 0 48 48
2097 0 49 49
1963 0 50 50
1677 0 51 51
1941 0 52 52
2003 0 53 53
1813 0 54 54
2012 0 55 55
1912 0 56 56
2084 0 57 57
2080 0 58 58
2118 0 59 59
2150 0 60 60
1608 0 61 61
1503 0 62 62
1548 0 63 63
1382 0 64 64
1731 0 65 65
1798 0 66 66
1779 0 67 67
1887 0 68 68
2004 0 69 69
2077 0 70 70
2092 0 71 71
2051 0 72 72
1577 0 73 73
1356 0 74 74
1652 0 75 75
1382 0 76 76
1519 0 77 77
1421 0 78 78
1442 0 79 79
1543 0 80 80
1656 0 81 81
1561 0 82 82
1905 0 83 83
2199 0 84 84
1473 0 85 85
1655 0 86 86
1407 0 87 87
1395 0 88 88
1530 0 89 89
1309 0 90 90
1526 0 91 91
1327 0 92 92
1627 0 93 93
1748 0 94 94
1958 0 95 95
2274 0 96 96
1648 0 97 97
1401 0 98 98
1411 0 99 99
1403 0 100 100
1394 0 101 101
1520 0 102 102
1528 0 103 103
1643 0 104 104
1515 0 105 105
1685 0 106 106
2000 0 107 107
2215 0 108 108
1956 0 109 109
1462 0 110 110
1563 0 111 111
1459 0 112 112
1446 0 113 113
1622 0 114 114
1657 0 115 115
1638 0 116 116
1643 0 117 117
1683 0 118 118
2050 0 119 119
2262 0 120 120
1813 0 121 121
1445 0 122 122
1762 0 123 123
1461 0 124 124
1556 0 125 125
1431 0 126 126
1427 0 127 127
1554 0 128 128
1645 0 129 129
1653 0 130 130
2016 0 131 131
2207 0 132 132
1665 0 133 133
1361 0 134 134
1506 0 135 135
1360 0 136 136
1453 0 137 137
1522 0 138 138
1460 0 139 139
1552 0 140 140
1548 0 141 141
1827 0 142 142
1737 0 143 143
1941 0 144 144
1474 0 145 145
1458 0 146 146
1542 0 147 147
1404 0 148 148
1522 0 149 149
1385 0 150 150
1641 0 151 151
1510 0 152 152
1681 0 153 153
1938 0 154 154
1868 0 155 155
1726 0 156 156
1456 0 157 157
1445 0 158 158
1456 0 159 159
1365 0 160 160
1487 0 161 161
1558 0 162 162
1488 0 163 163
1684 0 164 164
1594 0 165 165
1850 0 166 166
1998 0 167 167
2079 0 168 168
1494 0 169 169
1057 1 170 170
1218 1 171 171
1168 1 172 172
1236 1 173 173
1076 1 174 174
1174 1 175 175
1139 1 176 176
1427 1 177 177
1487 1 178 178
1483 1 179 179
1513 1 180 180
1357 1 181 181
1165 1 182 182
1282 1 183 183
1110 1 184 184
1297 1 185 185
1185 1 186 186
1222 1 187 187
1284 1 188 188
1444 1 189 189
1575 1 190 190
1737 1 191 191
1763 1 192 192
NA 1 193 193
NA 1 194 194
NA 1 195 195
NA 1 196 196
NA 1 197 197
NA 1 198 198
NA 1 199 199
NA 1 200 200
NA 1 201 201
NA 1 202 202
NA 1 203 203
NA 1 204 204
