"rent" "floor.size" "year" "location" "Gute.Wohnlage" "Beste.Wohnlage" "Keine.Wwv" "Keine.Zh" "Kein.Badkach" "Besond.Bad" "Gehobene.Kueche" "zim1" "zim2" "zim3" "zim4" "zim5" "zim6"
12.9 30 1960 366 0 0 0 0 0 0 0 1 0 0 0 0 0
10.89 37 1957 52 0 0 0 0 0 0 0 1 0 0 0 0 0
3.32 32 1957 140 0 0 0 0 0 0 0 1 0 0 0 0 0
9.27 47 1966 122 0 0 0 0 0 0 0 0 1 0 0 0 0
4.5 77 1957 172 0 0 0 0 1 0 0 0 0 1 0 0 0
6.76 110 1918 375 1 0 0 0 0 1 0 0 0 0 1 0 0
8 88 1984 248 0 0 0 0 0 0 0 0 0 0 1 0 0
6.15 126 1918 126 0 0 0 0 0 1 0 0 0 0 1 0 0
10.23 64 1918 145 1 0 0 0 0 0 0 0 1 0 0 0 0
9.03 59 1967 124 0 0 0 0 1 0 1 0 1 0 0 0 0
2.54 62 1957 77 0 0 0 0 0 0 0 0 0 1 0 0 0
6.35 185 1918 39 1 0 0 0 0 1 0 0 0 0 0 0 1
8.76 80 1991 310 0 0 0 0 0 0 0 0 0 1 0 0 0
10.21 77 1998 190 0 0 0 0 0 0 0 0 0 1 0 0 0
12.54 31 1960 366 1 0 0 0 0 0 0 1 0 0 0 0 0
7.69 130 2000 323 1 0 0 0 0 1 0 0 0 0 1 0 0
12.58 26 1966 29 1 0 0 0 0 0 0 1 0 0 0 0 0
5.29 84 1972 336 1 0 0 0 0 0 0 0 0 1 0 0 0
5.09 82 1960 276 0 0 0 0 1 0 0 0 0 0 1 0 0
8.19 95 1960 65 0 0 0 0 0 0 0 0 0 1 0 0 0
6.09 79 1948 31 1 0 0 0 0 0 0 0 0 1 0 0 0
7.65 90 1986 161 1 0 0 0 0 0 0 0 0 0 1 0 0
10.09 38 1918 54 0 0 0 0 0 0 0 1 0 0 0 0 0
10.34 82 1985 169 0 1 0 0 0 1 1 0 0 1 0 0 0
11.74 37 1992 75 0 0 0 0 0 0 0 1 0 0 0 0 0
8.52 65 1966 122 0 0 0 0 0 0 1 0 0 1 0 0 0
8.76 35 1957 131 1 0 0 0 0 0 0 1 0 0 0 0 0
10.21 71 1957 366 1 0 0 0 0 0 0 0 1 0 0 0 0
6.81 88 1966 221 1 0 0 0 1 0 0 0 0 0 1 0 0
7.92 116 1918 80 0 0 0 0 0 0 0 0 0 0 1 0 0
10.06 60 1918 299 0 0 0 0 0 0 0 0 1 0 0 0 0
8.44 52 1960 144 1 0 0 0 0 0 0 0 1 0 0 0 0
10.12 49 1957 48 1 0 0 0 0 0 0 0 1 0 0 0 0
6.19 77 1968 174 0 0 0 0 1 0 0 0 0 1 0 0 0
12.72 80 1998 29 1 0 0 0 0 0 0 0 0 1 0 0 0
6.96 57 1957 255 1 0 0 0 1 0 0 0 1 0 0 0 0
8.89 79 1957 264 0 0 0 0 0 0 0 0 0 1 0 0 0
6.66 64 1966 178 0 0 0 0 1 0 0 0 1 0 0 0 0
4.96 98 1966 110 0 0 0 0 1 0 0 0 0 0 1 0 0
