"Counts" "E" "X" "Region"
9 1.4 16 0
39 8.7 16 1
11 3 10 2
9 2.5 24 3
15 4.3 10 4
8 2.4 24 5
26 8.1 10 6
7 2.3 7 7
6 2 7 8
20 6.6 16 9
13 4.4 7 10
5 1.8 16 11
3 1.1 10 12
8 3.3 24 13
17 7.8 7 14
9 4.6 16 15
2 1.1 10 16
7 4.2 7 17
9 5.5 7 18
7 4.4 10 19
16 10.5 7 20
31 22.7 16 21
11 8.8 10 22
7 5.6 7 23
19 15.5 1 24
15 12.5 1 25
7 6 7 26
10 9 7 27
16 14.4 10 28
11 10.2 10 29
5 4.8 7 30
3 2.9 24 31
7 7 10 32
8 8.5 7 33
11 12.3 7 34
9 10.1 0 35
11 12.7 10 36
8 9.4 1 37
6 7.2 16 38
4 5.3 0 39
10 18.8 1 40
8 15.8 16 41
2 4.3 16 42
6 14.6 0 43
19 50.7 1 44
3 8.2 7 45
2 5.6 1 46
3 9.3 1 47
28 88.7 0 48
6 19.6 1 49
1 3.4 1 50
1 3.6 0 51
1 5.7 1 52
1 7 1 53
0 4.2 16 54
0 1.8 10 55
