"y" "n" "time"
0 2 1
0 2 2
1 2 3
1 2 4
0 2 5
1 2 6
1 2 7
0 2 8
0 2 9
0 2 10
0 2 11
0 2 12
0 2 13
0 2 14
1 2 15
0 2 16
0 2 17
1 2 18
1 2 19
0 2 20
1 2 21
1 2 22
0 2 23
0 2 24
0 2 25
0 2 26
0 2 27
0 2 28
0 2 29
0 2 30
1 2 31
0 2 32
1 2 33
0 2 34
0 2 35
0 2 36
0 2 37
0 2 38
0 2 39
0 2 40
0 2 41
0 2 42
1 2 43
1 2 44
0 2 45
0 2 46
0 2 47
2 2 48
1 2 49
0 2 50
0 2 51
0 2 52
0 2 53
1 2 54
1 2 55
0 2 56
1 2 57
0 2 58
0 2 59
0 1 60
0 2 61
1 2 62
1 2 63
0 2 64
0 2 65
0 2 66
0 2 67
0 2 68
0 2 69
2 2 70
0 2 71
0 2 72
1 2 73
1 2 74
0 2 75
2 2 76
1 2 77
0 2 78
1 2 79
1 2 80
1 2 81
0 2 82
1 2 83
2 2 84
0 2 85
0 2 86
1 2 87
1 2 88
1 2 89
1 2 90
1 2 91
2 2 92
0 2 93
0 2 94
1 2 95
1 2 96
0 2 97
1 2 98
2 2 99
0 2 100
1 2 101
1 2 102
1 2 103
0 2 104
0 2 105
1 2 106
2 2 107
1 2 108
0 2 109
2 2 110
1 2 111
0 2 112
1 2 113
0 2 114
0 2 115
0 2 116
0 2 117
0 2 118
1 2 119
0 2 120
0 2 121
1 2 122
1 2 123
0 2 124
0 2 125
0 2 126
1 2 127
1 2 128
0 2 129
0 2 130
0 2 131
0 2 132
0 2 133
1 2 134
1 2 135
1 2 136
2 2 137
2 2 138
0 2 139
0 2 140
0 2 141
0 2 142
0 2 143
1 2 144
1 2 145
1 2 146
0 2 147
0 2 148
0 2 149
1 2 150
0 2 151
0 2 152
0 2 153
0 2 154
0 2 155
1 2 156
0 2 157
1 2 158
0 2 159
0 2 160
0 2 161
2 2 162
1 2 163
1 2 164
2 2 165
1 2 166
0 2 167
1 2 168
2 2 169
2 2 170
0 2 171
2 2 172
2 2 173
1 2 174
1 2 175
1 2 176
2 2 177
2 2 178
2 2 179
1 2 180
1 2 181
0 2 182
0 2 183
0 2 184
1 2 185
0 2 186
1 2 187
1 2 188
1 2 189
2 2 190
1 2 191
0 2 192
1 2 193
1 2 194
0 2 195
0 2 196
2 2 197
1 2 198
1 2 199
1 2 200
1 2 201
2 2 202
2 2 203
0 2 204
1 2 205
0 2 206
0 2 207
0 2 208
0 2 209
1 2 210
1 2 211
0 2 212
0 2 213
0 2 214
0 2 215
0 2 216
0 2 217
0 2 218
0 2 219
0 2 220
0 2 221
0 2 222
0 2 223
0 2 224
0 2 225
1 2 226
1 2 227
1 2 228
1 2 229
1 2 230
1 2 231
0 2 232
1 2 233
2 2 234
1 2 235
0 2 236
0 2 237
0 2 238
0 2 239
0 2 240
0 2 241
0 2 242
1 2 243
0 2 244
1 2 245
0 2 246
0 2 247
0 2 248
1 2 249
0 2 250
1 2 251
1 2 252
1 2 253
2 2 254
0 2 255
0 2 256
0 2 257
1 2 258
2 2 259
2 2 260
0 2 261
1 2 262
1 2 263
2 2 264
2 2 265
1 2 266
0 2 267
1 2 268
1 2 269
1 2 270
1 2 271
1 2 272
1 2 273
0 2 274
0 2 275
0 2 276
0 2 277
0 2 278
1 2 279
0 2 280
0 2 281
0 2 282
1 2 283
0 2 284
2 2 285
1 2 286
1 2 287
0 2 288
1 2 289
1 2 290
1 2 291
0 2 292
2 2 293
1 2 294
1 2 295
1 2 296
1 2 297
0 2 298
0 2 299
0 2 300
1 2 301
0 2 302
0 2 303
0 2 304
0 2 305
0 2 306
0 2 307
0 2 308
0 2 309
0 2 310
1 2 311
1 2 312
0 2 313
1 2 314
1 2 315
0 2 316
0 2 317
0 2 318
0 2 319
1 2 320
1 2 321
0 2 322
0 2 323
1 2 324
1 2 325
0 2 326
0 2 327
0 2 328
1 2 329
0 2 330
0 2 331
0 2 332
0 2 333
0 2 334
0 2 335
0 2 336
0 2 337
0 2 338
0 2 339
0 2 340
0 2 341
0 2 342
0 2 343
0 2 344
0 2 345
1 2 346
0 2 347
0 2 348
0 2 349
0 2 350
1 2 351
1 2 352
1 2 353
0 2 354
0 2 355
0 2 356
0 2 357
1 2 358
0 2 359
0 2 360
0 2 361
0 2 362
0 2 363
0 2 364
1 2 365
1 2 366
