Study     TP    FP    FN    TN
R         87    4     2      3
R         111   1     4      30
R         184   7     8      9
R         168   3     1      7
P          89   3     5      33
R          21   1     0      14
R         125   3     0      12
P          40   4     5      43
P          40   0     4      8
R         104   3     4      185
R          34   4     1      54
P          29   4     1      66
P          28   5     1      74
P          67   7     5      118
P          30   3     3      42
P          36   1     1      11
P         131   12    4      170
R          23   0     1      76
P           4   2     0      25
R          31   2     6      76
P         110   4     5      181
P          37   2     4      66
P          18   1     1      55
R          35   0     1      36
P          28   6     7      63
R           9   2     2      16
R          38   8     1      82
R          64   1     2      128
R         103   1     8      252
P          88   3     5      24
R         137   8     5      402
R         137   8     5      402
P          32   2     0      66
P         114   3     1      211
P          52   1     1      46
P          17   0     0      18
P          56   2     0      41
R          49   4     1      43
R          58   6     3      87
P          21   0     1      34
R          33   11    3      60
R          44   3     6      61
P          43   5     4      166
P           4   0     0      22
R          28   8     3      64
P          30   0     2      25
P          47   1     1      51
P         183   26    9      24
P          28   2     2      68
P          33   3     2      33
P          35   1     2      12
R          42   3     3      17
