Study           Year    TP      FP      FN      TN
Al-Shawi	2008	65	12	1	65
Alasaarela	1998	1	0	0	19
Brenneke&Morgan	1992	11	8	14	45
Cullen	        2007	11	2	3	21
Ferrari	        2002	8	1	10	25
Friedman	1993	2	0	2	0
Hedtmann&Fett	1995	121	0	12	0
Lannotti	2005	26	7	2	16
Kang	        2009	2	5	2	5
Kayser	        2005	41	16	11	171
Labanauskaite	2002	11	3	2	9
Milosavljevic	2005	17	0	7	6
Naqvi	        2009	4	2	0	11
Read	        1998	6	1	7	28
Roberts	        2001	5	0	2	7
Rutten	        2010	8	12	0	24
Takagishi	1996	10	7	10	57
Teefey	        2000	10	3	5	17
Teefey	        2005	13	4	2	52
Van_Holsbeeck	1995	14	3	1	47
Vlychou  	2009	44	2	3	7
Wiener&Seitz	1993	64	4	3	71
Yen	        2004	9	1	1	9
