author	        year	TP	FP	FN	TN	ndis	nnondis	sens	spec
Kindermann	1970	19	1	10	81	29	82	0.655	0.988
Lecart&Lenfant	1971	8	9	2	13	10	22	0.800	0.591
Piver	        1971	41	1	12	49	53	50	0.774	0.980
Piver&Barlow	1973	5	1	2	18	7	19	0.714	0.947
Kolbenstvedt	1975	45	58	32	165	77	223	0.584	0.740
Leman	        1975	8	6	2	32	10	38	0.800	0.842
Brown	        1979	5	8	1	7	6	15	0.833	0.467
Lagasse	        1979	15	17	11	52	26	69	0.577	0.754
Kjorstad	1980	16	11	8	24	24	35	0.667	0.686
Ashraf	        1982	4	8	2	25	6	33	0.667	0.758
de.Muylder	1984	8	12	10	70	18	82	0.444	0.854
Smales	        1986	10	4	4	55	14	59	0.714	0.932
Feigen	        1987	2	5	6	23	8	28	0.250	0.821
Swart	        1989	7	10	7	30	14	40	0.500	0.750
Heller	        1990	44	50	12	135	56	185	0.786	0.730
La.Fianza	1990	8	3	1	37	9	40	0.889	0.925
Stellato	1992	4	3	0	14	4	17	1.000	0.824
