"East" "South" "Altitude" "jan01" "jan02" "jan03" "jan04" "jan05" "jan06" "jan07" "jan08" "jan09" "jan10" "jan11" "jan12" "jan13" "jan14" "jan15" "jan16" "jan17" "jan18" "jan19" "jan20" "jan21" "jan22" "jan23" "jan24" "jan25" "jan26" "jan27" "jan28" "jan29" "jan30" "jan31" "feb01" "feb02" "feb03" "feb04" "feb05" "feb06" "feb07" "feb08" "feb09" "feb10" "feb11" "feb12" "feb13" "feb14" "feb15" "feb16" "feb17" "feb18" "feb19" "feb20" "feb21" "feb22" "feb23" "feb24" "feb25" "feb26" "feb27" "feb28" "mar01" "mar02" "mar03" "mar04" "mar05" "mar06" "mar07" "mar08" "mar09" "mar10" "mar11" "mar12" "mar13" "mar14" "mar15" "mar16" "mar17" "mar18" "mar19" "mar20" "mar21" "mar22" "mar23" "mar24" "mar25" "mar26" "mar27" "mar28" "mar29" "mar30" "mar31"
512.885762083184 7472.95778407701 365 0 0 0 0 0 0 2.5 0 0 3.7 15.5 0 0 0 0 0 36.7 0 24.3 45.1 13.8 20.9 0 4.8 0 0 0 4.6 5.6 35.2 0 0 0 0 8.5 0 0 0 0 0 11.2 5.7 1.6 25.2 6.4 15 0 3.6 0 0 0 17.3 0 0 13.1 0 0 0 22.1 0 0 2.6 0 0 4.9 0 0 0 0 7.9 4.4 0 0 0 0 0 0 0 0 0 5.2 5.1 0 0 0 0 0 6.5 0 0
523.465023329818 7460.92313934208 344 0 1 0 0 0 0 6 14 45.7 0 1 13.6 4.4 2.8 0 0 96.2 3.4 18.8 32.8 5.4 41.5 0 30 0 0 0 0 0 40.3 0 2.7 0 0 25.6 0 0 0 12.4 0 0 12.6 0 33.7 1 23.7 0 12.5 0 0 6.3 0 0 0 15 2 0 0 0 0 0 6 2 0 0 0 0 0 0 0 7.6 0 0 0 0 0 0 15.4 0 0 0 6.2 0 0 0 0 0.9 9.5 2.2 0.3
535.912644446076 7461.97239674588 904 0 0 0 3.3 0 0 5.1 0 12.7 0 8.5 0 0 0 0 0 32.3 0 29.2 19.2 12.2 0 0 0 0 32.5 0 0 0 35.9 0 41.5 0 0 21.5 0 0 32.1 6.5 0 0 21.5 0 22.1 0 58.1 0 20.1 0 6.5 0 44.6 0 10.5 0 0 0 0 3.5 0 0 4.5 0 1.3 0 0 0 11.5 0 0 0 0 6.5 0 0 0 0 0 8.9 0 0 0 0 0 0 9.5 4.5 0 18.1 0
553.414569204968 7459.46288096244 402 0 0 0 0 0 0 0 4.1 2.8 0 0 0 12.2 0 0 0 64.2 6.8 38.4 12.2 6.4 24.4 0 6.2 9.6 2.6 0 0 0 23.3 0 4.2 0 21.3 0 0 1.7 34 7.4 3.8 7.5 10 0 33.7 24.8 77.8 0 22.8 1.8 3.8 0 0 0 0 0 23.7 11.4 0 0 0 0 4.2 3.4 0 0 0 0 0 0 0 53.4 0 0 0 0 0 0 0 0 1.8 0 17.3 0 1.8 0 0 0 1.8 13.6 0
575.231844669621 7460.1335070386 423 0 0 0 0 0 0 4.7 11.3 0 0 0 5 18.3 0 0 0 85 20.7 45.2 27.3 5.7 8.5 0 0 2.5 0 0.5 0 0 0 0 0 0 0 36.7 0 2.2 5.9 9.1 3.4 10.9 0 0 18 0 11.9 0 0 5.3 2.3 3.4 0 0 0 8.3 0 30 0 0 0 0 3.7 0 1.5 0 0 0 2.7 0 4.6 0.5 0 0 0 0 0 0 16.9 0 0 17.1 0 0 0 0 0 0 0 7.1 0
602.497922771074 7458.00178362476 528 0 0 4 0 0 2.3 0 4.6 0 0 0 0 8 0 0 0 45.9 15.3 58.9 62.8 18.6 9.5 0 0 0 5.9 4.6 0 0 0 0 10.9 26.1 20.2 0 0 0 2 3.3 2 16 0 0 0 0 42.7 0 2.1 6 11 2 0 0 0 13.3 0 4.4 0 0 0 0 5.1 0 4.2 0 0 4.5 0 0 0 5.1 0 0 0 0 0 0 5.2 0 0 0 3.8 3.7 0 0 0 0 5 22.7 0
461.61307565638 7483.586010048 425 0 0 0 0 0 0 0 24.1 7.3 0 0 0 7.8 0 3.1 0 0 15 0 24.3 12.8 8.8 20.2 1.2 0 0 40.2 0 1 0 9.1 0.5 0 1.1 30.2 1 18 10.6 25.8 4.4 37.5 5.2 0 0 12 0 14.3 0 0 0.5 0 0 0 0 3 12.2 0 9.4 12.1 0 0.5 33 1.7 0 0 0 0 0 0 2 0 1.1 5.1 0 0 0 0 0 5 0 0 0 12.4 2.7 0 0 0 7.6 0 0
479.496124025302 7462.00125052503 600 0 4.8 0 0 0 0 0 0 3 0 6.2 0.2 21.2 7.2 0 0 59 6 17.2 44.6 8 14.6 5.8 2 0 0 0 0 0 7.4 1 1.2 1 0.2 4 0 0 5.4 1.6 6.4 4.4 7.2 1 11.4 1.2 30.2 5.6 5.2 0 0.4 0.2 0 0 0 2.2 0.2 5.2 0 0 0 0 3.8 7.8 2.8 0.2 4.8 2.2 0 0.6 0 4.4 0.2 0 0 0 0 0.4 2.2 0 0 0.2 13.6 0 0 0 0 0 44.4 0.6 1
408.915420553303 7467.48578159324 487 0 0 0 0 8.4 0 0 0 0 0 0 0 7 0 0 0 0 3.3 36.6 15.6 2.4 28.5 0 0 0 0 21.7 2.6 0 0 0 0 10 1.5 0 0 0 12 4 10.5 36.1 9.1 13.7 4.7 5 0 1.5 0 0 0 0 0 0 25.7 27.6 0 78.5 9.1 8.3 0 0 0.7 18.7 0 0 0 0 0 0 0 2.6 0 0 0 0 0 0 0 0 0 0 20.5 0 0 0 0 5.1 38.1 0 19.6
426.980973489855 7479.79725693074 377 0 0 0 0 0 0 0 0 0 10.4 0 0 0 113.4 0 0 0 0 0 48.5 0 19.3 0 0 0 0 0 11.5 0 0 0 0 0 0 0 0 0 38.2 0 49.3 9.3 0 0 23.2 0 0 0 0 0 0 0 0 0 0 0 8.5 0 26.3 0 0 0 0 36.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.6 0 0 0 0 0 0 0 0
